generation,best_loss,median_loss
0,0.00014259631279855967,0.005411928053945303
1,0.00014259559975471348,0.0016980571672320366
2,0.00014259559975471348,0.00021145783830434084
3,0.00014259559975471348,0.00018586896476335824
4,0.000136332368128933,0.00016983048408292234
5,0.000136332368128933,0.00016369286458939314
6,0.000136332368128933,0.00014841739903204143
7,0.0001362073962809518,0.00014409483992494643
8,0.00011101986456196755,0.00014259631279855967
9,0.00011101986456196755,0.0001406183873768896
10,0.00011101986456196755,0.00013861338084097952
11,0.00011101986456196755,0.0001384926144964993
12,0.00011039694072678685,0.00013836148718837649
13,0.00010992791794706136,0.00013825242058373988
14,0.00010992791794706136,0.0001374268758809194
15,8.938505925470963e-05,0.00013648337335325778
16,8.938505925470963e-05,0.00013627081352751702
17,8.938505925470963e-05,0.0001362073962809518
18,8.938505925470963e-05,0.00013497102190740407
19,8.938505925470963e-05,0.00013079613563604653
20,8.938505925470963e-05,0.0001260695280507207
21,8.938505925470963e-05,0.0001134556659962982
22,7.945622928673401e-05,0.00011253942648181692
23,7.945622928673401e-05,0.00011165013711433858
24,7.945622928673401e-05,0.00011126451863674447
25,7.85748561611399e-05,0.0001104985349229537
26,7.85748561611399e-05,0.00011039726086892188
27,7.85748561611399e-05,0.00010985735571011901
28,7.856430602259934e-05,0.00010962890519294888
29,7.856430602259934e-05,0.00010613854101393372
30,7.831966649973765e-05,0.00010128327267011628
31,7.409532554447651e-05,9.569175017531961e-05
32,7.409532554447651e-05,9.089898958336562e-05
33,7.409532554447651e-05,9.056995622813702e-05
34,7.409532554447651e-05,8.938505925470963e-05
35,7.409532554447651e-05,8.84342152858153e-05
36,7.409532554447651e-05,8.607438940089196e-05
37,7.409532554447651e-05,8.336872997460887e-05
38,7.409532554447651e-05,8.16251922515221e-05
39,7.330235530389473e-05,8.016613719519228e-05
40,6.593573198188096e-05,7.952078885864466e-05
41,6.593573198188096e-05,7.880963676143438e-05
42,6.593573198188096e-05,7.85748561611399e-05
43,6.593573198188096e-05,7.85748561611399e-05
44,6.593573198188096e-05,7.856958109186962e-05
45,6.593573198188096e-05,7.856430602259934e-05
46,6.593573198188096e-05,7.835809810785577e-05
47,5.25097202626057e-05,7.826277578715235e-05
48,5.25097202626057e-05,7.769747753627598e-05
49,5.25097202626057e-05,7.517103222198784e-05
50,5.25097202626057e-05,7.516371260862797e-05
51,5.25097202626057e-05,7.516004552599043e-05
52,5.25097202626057e-05,7.51434636185877e-05
53,5.25097202626057e-05,7.457201718352735e-05
54,5.25097202626057e-05,7.436815940309316e-05
55,5.25097202626057e-05,7.436815940309316e-05
56,5.25097202626057e-05,7.436749729095027e-05
57,5.25097202626057e-05,7.436564192175865e-05
58,5.25097202626057e-05,7.38703238312155e-05
59,5.25097202626057e-05,7.367493526544422e-05
60,5.2312541811261326e-05,7.31677864678204e-05
61,4.816874206881039e-05,7.266894681379199e-05
62,4.816874206881039e-05,7.251932402141392e-05
63,4.816874206881039e-05,7.247150642797351e-05
64,4.816874206881039e-05,7.24682176951319e-05
65,4.816874206881039e-05,7.196345541160554e-05
66,4.816874206881039e-05,7.171045581344515e-05
67,4.816874206881039e-05,7.156898209359497e-05
68,4.816874206881039e-05,7.120094960555434e-05
69,4.816874206881039e-05,7.017920142970979e-05
70,4.816874206881039e-05,6.855287938378751e-05
71,4.816874206881039e-05,6.791974738007411e-05
72,4.816874206881039e-05,6.791974738007411e-05
73,4.816874206881039e-05,6.702268728986382e-05
74,4.816874206881039e-05,6.593573198188096e-05
75,4.816874206881039e-05,6.593573198188096e-05
76,4.816874206881039e-05,6.593573198188096e-05
77,4.816874206881039e-05,6.593573198188096e-05
78,4.816874206881039e-05,6.557934102602303e-05
79,4.816874206881039e-05,6.557934102602303e-05
80,4.816874206881039e-05,6.095408389228396e-05
81,4.816874206881039e-05,5.8414538216311485e-05
82,4.816874206881039e-05,5.53576392121613e-05
83,4.816874206881039e-05,5.493956996360794e-05
84,4.816874206881039e-05,5.267705273581669e-05
85,4.816874206881039e-05,5.258647433947772e-05
86,4.816874206881039e-05,5.251014590612613e-05
87,4.816874206881039e-05,5.25097202626057e-05
88,4.816874206881039e-05,5.25097202626057e-05
89,4.816874206881039e-05,5.25097202626057e-05
90,4.816874206881039e-05,5.25097202626057e-05
91,4.816874206881039e-05,5.2312541811261326e-05
92,4.816874206881039e-05,5.2312541811261326e-05
93,4.816874206881039e-05,5.2312541811261326e-05
94,4.816874206881039e-05,5.2312541811261326e-05
95,4.816874206881039e-05,5.2312541811261326e-05
96,4.816874206881039e-05,5.2312541811261326e-05
97,2.7914171369047835e-05,5.2312541811261326e-05
98,2.7914171369047835e-05,5.2312541811261326e-05
99,2.7914171369047835e-05,5.2312541811261326e-05
