action_index,position,expression,length,operon_mse,validation_mse
0,0,((-0.087510) + (2.198406 * ((-0.177415) * X3))),5,0.11185482144355774,0.1214214488863945
0,1,(0.014907 + (0.999194 * (((-0.163578) * X8) + (0.107690 * X7)))),7,0.09588340669870377,0.09620419144630432
0,2,(0.031516 + (1.031057 * (((0.162299 * X7) / (sqrt(1 + ((-0.706400) * X9) ^ 2))) - (0.150671 * X8)))),9,0.09237714856863022,0.08953385800123215
0,3,(0.003240 + (0.998392 * (((0.169450 * X7) / (sqrt(1 + (0.985394 * X9) ^ 2))) + (((-0.151965) * X8) + ((-0.112272) * X3))))),11,0.09206781536340714,0.08914870768785477
0,4,(0.010927 + (0.947852 * (((-0.162930) * X8) + ((((-0.025912) * X9) + tanh(((-0.526938) * X7))) + (0.539973 * X7))))),12,0.0912255272269249,0.08981402963399887
0,5,(0.008329 + (0.995513 * (((tanh((0.484811 * X8)) + tanh(((-0.552957) * X7))) + (0.536312 * X7)) - (0.572052 * X8)))),13,0.09107593446969986,0.08874373137950897
0,6,((-0.002389) + (1.001487 * ((((0.531396 * X7) / (sqrt(1 + ((-0.250053) * X9) ^ 2))) - ((0.138478 * X8) + (0.145095 * X3))) + tanh(((-0.481818) * X7))))),14,0.08973237872123718,0.08645797520875931
0,7,(0.003106 + (0.992052 * ((((0.543313 * X7) / (sqrt(1 + ((-0.226047) * X9) ^ 2))) - ((0.139803 * X8) + (0.113571 * X3))) + (((-0.007770) * X9) + tanh(((-0.504293) * X7)))))),16,0.08955548703670502,0.08649776130914688
0,8,(0.029671 + (1.072579 * (((((((-0.109249) * X9) - (0.502210 * X5)) / (sqrt(1 + (-1.606768) ^ 2))) + tanh(((-0.571704) * X7))) + (0.492415 * X7)) + (((-0.151738) * X8) + (0.038632 * X3))))),18,0.08867216855287552,0.08538594841957092
0,9,(0.000012 + (0.999261 * (((-0.168215) * X8) + ((tanh(((-0.586543) * X7)) + (((((-0.258233) * X5) - ((-0.005865) * X11)) + ((-0.063704) * X9)) - (0.009031 - ((-0.098363) * X3)))) + (0.510427 * X7))))),20,0.08835238218307495,0.08545972406864166
0,10,(0.013808 + (0.963947 * (((-0.572940) * X8) + (((tanh((0.458564 * X8)) + tanh(((-0.605683) * X7))) + (((((-0.228047) * X5) - ((-0.005865) * X11)) + ((-0.060039) * X9)) - (0.001332 * X11))) + (0.534795 * X7))))),21,0.08718850463628769,0.0834377184510231
0,11,(0.000019 + (0.998800 * (((tanh((0.463549 * X8)) + tanh(((-0.617725) * X7))) + (0.537949 * X7)) + (((-0.413694) * X8) + (((-0.151375) * X8) + ((((-0.093063) * X7) + (((((-0.228355) * X5) - ((-0.008370) * X11)) + ((-0.058666) * X9)) - (0.033548 - ((-0.175936) * X3)))) + (0.082685 * X7))))))),29,0.08683530986309052,0.08334632962942123
1,0,((-0.257854) + (6.695378 * ((-0.156444) * X4))),5,0.11943332105875015,0.1419585645198822
1,1,(0.171487 + (0.960876 * (((-0.055603) * X10) - ((-0.780502) * X3)))),7,0.11498167365789413,0.12715066969394684
1,2,(0.070494 + (1.009243 * ((((-0.261813) * X6) - (3.024491 * X2)) - (1.740745 * X4)))),9,0.10331449657678604,0.11893801391124725
1,3,(0.002181 + (1.001355 * ((((-1.682557) * X4) + ((-0.028091) * X10)) + (((-0.222355) * X6) - (2.755716 * X2))))),11,0.10153131186962128,0.11424844712018967
1,4,(0.004670 + (1.064873 * (((((-0.356302) * X6) - (4.914820 * X2)) - (2.634443 * X4)) / (sqrt(1 + ((2.011620 * X4) - ((-3.068649) * X5)) ^ 2))))),13,0.09715490788221359,0.11400946974754333
1,5,((-0.164802) + (1.719051 * (((tanh(((-1.271779) * X4)) + ((-0.144030) * X10)) + ((-0.069483) * X7)) / (sqrt(1 + ((7.092403 * X4) - ((-4.639101) * X5)) ^ 2))))),14,0.0964568629860878,0.10135173797607422
1,6,((-0.031185) + (0.942642 * (((((-3.299094) * X4) + ((-0.082046) * X10)) + (((-0.368278) * X6) - (5.083933 * X2))) / (sqrt(1 + ((4.697869 * X4) - ((-3.626783) * X5)) ^ 2))))),15,0.09403154253959656,0.10589152574539185
1,7,((-0.228701) + (1.151316 * ((((((-2.674909) * X4) - ((-0.069678) * X5)) + ((-0.264082) * X10)) + ((0.563872 * X3) + 0.207674)) / (sqrt(1 + ((9.424974 * X4) - ((-5.816233) * X5)) ^ 2))))),17,0.09169606119394302,0.09803164005279541
1,8,((-0.006539) + (1.001179 * (((((((-2.231409) * X4) - ((-0.082688) * X5)) + ((-0.144027) * X10)) + (0.540060 * X3)) / (sqrt(1 + ((3.959953 * X4) - ((-3.052816) * X5)) ^ 2))) - ((0.111356 * X6) - ((-1.974957) * X2))))),19,0.08974777162075043,0.09723904728889465
1,9,(0.001643 + (1.000621 * ((((-0.005083) * X10) - ((((1.050218 * X2) + (0.180390 * X10)) + (((-0.492981) * X3) - ((-2.729800) * X4))) / (sqrt(1 + ((6.371406 * X4) - ((-4.449838) * X5)) ^ 2)))) - (((0.136941 * X6) - ((-1.252353) * X2)) - ((-0.242428) * X4))))),23,0.0886475071310997,0.09589260816574097
1,10,((-0.014216) + (1.016867 * (((((((0.497900 * X6) - ((-5.933191) * X2)) + ((-0.336410) * X10)) + ((1.787302 * X3) + 0.267070)) / (sqrt(1 + ((12.239244 * X4) - ((-9.173492) * X5)) ^ 2))) + (((-1.132017) * X4) - (3.117094 * X2))) + tanh(((-0.245417) * X6))))),24,0.08757244795560837,0.09473882615566254
1,11,((-0.016238) + (0.951542 * ((((((((-0.079320) * X9) * 2.302585) + (tanh((13.572912 * X3)) + (((-1.468889) * X3) - (3.345585 * X4)))) + (1.132841 * X3)) + ((-0.254538) * X10)) + ((0.074829 * X3) - (0.639055 * X4))) / (sqrt(1 + ((10.891756 * X4) - ((-4.769909) * X5)) ^ 2))))),26,0.08670758455991745,0.0894845649600029
1,12,((-0.011096) + (0.987326 * ((((((((-0.065914) * X9) * 2.302585) + (tanh((8.597052 * X3)) + ((-1.936282) * X3))) + (1.207297 * X3)) + ((-0.258319) * X10)) + ((((-3.983548) * X2) + (0.055983 * X11)) + (((-2.284583) * X4) - ((-0.068660) * X5)))) / (sqrt(1 + ((7.787568 * X4) - ((-3.952355) * X5)) ^ 2))))),28,0.08406742662191391,0.08761807531118393
2,0,((-0.240885) + (1.025332 * (0.052316 * X11))),5,0.20815163850784302,0.22014223039150238
2,1,((-0.261933) + (0.362336 * tanh((0.318310 * X11)))),6,0.20252978801727295,0.21709983050823212
2,2,(0.128399 + (0.722455 * ((0.164006 * X9) + (1.883293 * X3)))),7,0.15977731347084045,0.1563219279050827
2,3,(0.148153 + (0.788942 * ((1.810944 * X3) - tanh(((-0.148388) * X9))))),8,0.1593897044658661,0.1555832326412201
2,4,(0.106914 + (0.832691 * ((1.532734 * X3) - (((-0.149000) * X9) - ((-0.025580) * X7))))),9,0.1589648723602295,0.15441520512104034
2,5,(0.100069 + (1.191960 * (tanh(((0.080948 * X9) + ((-0.055015) * X10))) + (1.063348 * X3)))),10,0.1576465368270874,0.15346884727478027
2,6,(0.006544 + (1.006900 * (((2.899755 * X3) - tanh(((-0.117435) * X9))) + tanh(((-2.808083) * X3))))),11,0.15343540906906128,0.150807723402977
2,7,((-0.001753) + (0.992229 * ((tanh((0.197520 * X9)) + (2.171715 + (1.958203 * X3))) - (1.397197 * X1)))),12,0.1523306518793106,17969.927734375
2,8,(0.000000 + (1.000000 * (((((-0.765502) * X5) / (sqrt(1 + (49.219929 * X2) ^ 2))) + (0.845989 + (1.622179 * X3))) + ((-0.292959) * X6)))),13,0.13279342651367188,0.14281153678894043
2,9,(0.003477 + (1.012909 * (((-0.182489) * X7) + (((((-0.977782) * X5) / (sqrt(1 + (21.967897 * X2) ^ 2))) + (0.853960 + (0.949904 * X3))) + ((-0.375613) * X6))))),15,0.11959432810544968,0.11924724280834198
2,10,((-0.000001) + (1.000002 * ((((((-0.943534) * X5) / (sqrt(1 + (31.101994 * X2) ^ 2))) + (0.763296 + (0.878212 * X3))) + ((-0.292956) * X6)) + (((0.025637 * X9) - (0.191585 * X7)) + ((-0.049268) * X6))))),19,0.11867295950651169,0.1166248545050621
2,11,((-0.001762) + (1.006118 * (((tanh((((0.268210 * X8) + ((-0.918508) * X5)) + (((-0.345834) * X7) - ((-0.565882) * X3)))) - (-1.201683)) - (((0.371135 * X6) - ((-0.017160) * X11)) + (0.432994 + ((-0.989166) * X3)))) + (0.433225 / (sqrt(1 + ((-1.511917) * X10) ^ 2)))))),26,0.10334234684705734,0.09387321770191193
