action_index,position,expression,length,operon_mse,validation_mse
0,0,(0.003724 + (5.857821 * ((-0.803288) * X3))),5,0.20030255615711212,0.004266423173248768
0,1,(0.002458 + (1.180973 * sin(((-6.749459) * X3)))),6,0.1785922348499298,0.0036518704146146774
0,2,(0.002716 + (1.369496 * sin(sin(((-6.372547) * X3))))),7,0.1756477802991867,0.003628445789217949
0,3,(0.036178 + (2.071690 * sin((((-1.482060) * X2) + ((-4.266469) * X3))))),8,0.1599685102701187,0.005624690558761358
0,4,((-0.333407) + (1.071847 * (sqrt(abs((0.441466 * X1))) - sin((7.360138 * X3))))),9,0.1527353972196579,0.4502454698085785
0,5,(0.039381 + (1.257375 * sin((((0.123774 * X7) - (2.898068 * X2)) + ((-9.488329) * X3))))),10,0.12617026269435883,0.004128112457692623
0,6,(0.017704 + (1.358088 * sin(sin(((((-1.224391) * X7) - (5.955719 * X3)) + ((-1.253710) * X8)))))),11,0.12525396049022675,0.004051435273140669
0,7,((-0.022067) + (1.368557 * sin(sin((((1.052408 * X7) - ((-3.108681) + ((-5.456663) * X3))) + (1.130353 * X8)))))),13,0.12423059344291687,0.004389939364045858
0,8,(0.020086 + (1.165822 * sin((sin(((((-1.473042) * X7) - (5.321395 * X3)) + ((-1.586049) * X8))) - sin((2.236045 * X3)))))),14,0.11434110999107361,0.005547896958887577
0,9,(0.047508 + (1.137498 * sin((sin(((-8.209322) * X3)) - ((((1.349892 * X7) - ((-1.003018) * X3)) + (1.139920 * X8)) - ((-0.558091) * X6)))))),15,0.11108583956956863,0.005737875588238239
0,10,((-0.000750) + (1.105410 * sin((sin(((((-2.367306) * X7) - (5.084528 * X3)) + ((-2.433784) * X8))) - ((-603.217163) - sin(((-5.884676) * X3))))))),16,0.10663387179374695,0.009684772230684757
0,11,((-0.048453) + (1.127879 * ((sin((((0.110261 * X7) - (6.408107 * X2)) + ((-13.733873) * X3))) + (0.170261 * X7)) + (sqrt(abs(((-0.041599) * X1))) - ((-0.195051) * X6))))),17,0.09995963424444199,0.049340199679136276
0,12,((-0.000608) + (1.170424 * sin((0.087076 + (sin(((-7.869341) * X2)) + (((((-0.528663) * X7) - (5.022379 * X3)) + ((-0.665992) * X8)) + sin(((-10.675069) * X3)))))))),18,0.07894287258386612,0.01299033872783184
0,13,((-0.015431) + (1.346793 * sin((((sin(((-6.759260) * X2)) + (((((-0.093870) * X7) - (0.301999 * X3)) + ((-0.272987) * X8)) + (sin(((-6.432309) * X3)) * 0.503112))) + (sqrt(abs(((-0.025240) * X1))) - ((-0.127494) * X6))) + (sin(sin(((-9.778902) * X3))) + ((-1.188698) * X3)))))),29,0.07425232231616974,0.006374239921569824
