action_index,position,expression,length,operon_mse,validation_mse
0,0,(0.085454 + (1.103421 * ((-1.013137) * X6))),5,0.033516883850097656,0.011098465882241726
0,1,(0.085192 + (0.439739 * tanh(((-3.300685) * X6)))),6,0.03268278017640114,0.01029363926500082
0,2,(0.083523 + (0.868900 * ((0.357964 * X7) - (1.224980 * X6)))),7,0.031148333102464676,0.017123429104685783
0,3,(0.083006 + (0.859657 * (tanh(((-14.150657) * X3)) - (1.221195 * X6)))),8,0.027445325627923012,0.014322828501462936
0,4,(0.084212 + (0.724646 * (tanh(((-1.658016) * X6)) + tanh(((-15.436375) * X3))))),9,0.02709648199379444,0.013011449947953224
0,5,(0.084379 + (1.125909 * (tanh(((-14.419868) * X3)) - ((2.465415 * X2) + (0.935183 * X6))))),10,0.025699324905872345,0.015406332910060883
0,6,(0.084817 + (1.169557 * ((tanh(((-0.945858) * X6)) - tanh((12.420334 * X3))) - (2.343809 * X2)))),11,0.025483081117272377,0.014079615473747253
0,7,(0.081973 + (1.095883 * (((-4.424228) * X2) - (((-0.331341) * X7) - (tanh(((-13.221762) * X3)) + ((-0.832747) * X6)))))),12,0.025332774966955185,0.022117435932159424
0,8,(0.081978 + (1.105831 * (((((-0.990950) * X6) / (sqrt(1 + ((-10.455086) * X7) ^ 2))) + tanh(((-11.442819) * X3))) - (((-0.354467) * X7) + ((-2.576022) * X3))))),14,0.02505674958229065,0.01088503934442997
0,9,((-0.022044) + (1.266716 * ((0.083925 + tanh(((-11.165559) * X3))) - ((((-1.206537) * X6) - ((-2.406441) * X2)) - tanh(((-2.376043) * X6)))))),15,0.024603821337223053,0.011003343388438225
0,10,(0.002119 + (0.968241 * ((((0.154886 * X4) + (1.144824 * X6)) + tanh(((-10.625486) * X3))) - ((0.154076 / (sqrt(1 + ((-192.518326) * X6) ^ 2))) - tanh(((-2.809466) * X6)))))),17,0.022742561995983124,0.0063779293559491634
0,11,(0.000718 + (1.036232 * ((((1.572266 * X3) - (0.173299 / (sqrt(1 + (181.443878 * X6) ^ 2)))) - (((-0.158889) * X5) - (0.150822 * X1))) - (tanh((9.098461 * X3)) + (1.488022 * X6))))),18,0.021464364603161812,inf
0,12,((-0.000241) + (1.035283 * ((((((-21.418814) * X2) / (sqrt(1 + (-7.306306) ^ 2))) - (0.175939 / (sqrt(1 + (181.745392 * X6) ^ 2)))) - (((-0.161477) * X5) - (0.145107 * X1))) - (tanh((11.640678 * X3)) + (1.418343 * X6))))),20,0.02077215164899826,inf
0,13,(0.000513 + (1.016311 * ((((((-19.758308) * X2) / (sqrt(1 + (-6.685942) ^ 2))) - (0.180575 / (sqrt(1 + (182.686951 * X6) ^ 2)))) - (((-0.163617) * X5) - (0.167985 * X1))) - (tanh((1.603597 * X6)) + tanh((11.263718 * X3)))))),21,0.02043340541422367,inf
0,14,((-0.002373) + (1.045319 * ((((((-92.782730) * X2) / (sqrt(1 + 7.500557 ^ 2))) - (0.174101 / (sqrt(1 + (158.078445 * X6) ^ 2)))) - (((-0.166910) * X5) - (0.088263 * X1))) - ((tanh((12.659645 * X3)) - ((0.158363 * X7) + ((-5.452393) * X3))) + (1.096728 * X6))))),24,0.019929617643356323,inf
0,15,((-0.005494) + (1.067140 * ((((((-92.782730) * X2) / (sqrt(1 + 7.884270 ^ 2))) - (0.176452 / (sqrt(1 + (176.225189 * X6) ^ 2)))) - (((-0.164295) * X5) - (0.119359 * X1))) - (((tanh((3.110642 * X6)) + tanh((14.486341 * X3))) - ((0.081673 * X7) + ((-5.102497) * X3))) + ((-1.375761) * X6))))),27,0.019069278612732887,inf
