epoch,train_loss,validation_loss,mean_batch_loss
0,6.180602213134989e-05,5.883541234652512e-05,0.00010335526894778013
1,4.3231317249592394e-05,3.932726394850761e-05,5.0293565436732024e-05
2,3.7906269426457584e-05,3.399673732928932e-05,4.0219507354777306e-05
3,3.498253499856219e-05,3.107461452600546e-05,3.664466930786148e-05
4,3.282422403572127e-05,2.9037071726634167e-05,3.36382508976385e-05
5,3.0947157938499004e-05,2.7377243895898573e-05,3.23052445310168e-05
6,2.9350172553677112e-05,2.589756331872195e-05,3.004314930876717e-05
7,2.7540145310922526e-05,2.4243941879831254e-05,2.836277417372912e-05
8,2.5842060495051555e-05,2.2808779249317013e-05,2.6837036784854718e-05
9,2.4182034394470975e-05,2.1418572941911407e-05,2.494733053026721e-05
10,2.244458482891787e-05,1.9820587112917565e-05,2.340482024010271e-05
11,2.057126948784571e-05,1.8079084838973358e-05,2.1612861019093543e-05
12,1.8845474187401123e-05,1.667527794779744e-05,1.961984162335284e-05
13,1.6714442608645186e-05,1.4809709682594985e-05,1.7765885786502622e-05
14,1.5197065295069478e-05,1.330739542027004e-05,1.594767309143208e-05
15,1.3065488019492477e-05,1.1412997082516085e-05,1.4114248187979683e-05
16,1.196568518935237e-05,1.0483739970368333e-05,1.2464086466934532e-05
17,1.0301353540853597e-05,8.978313417173922e-06,1.085828262148425e-05
18,9.037635209097061e-06,7.861629455874208e-06,9.673492968431674e-06
19,7.643899152753875e-06,6.661840870947344e-06,8.383682143175974e-06
20,6.725220828229794e-06,5.8440300563233905e-06,7.208880560938269e-06
21,5.816303655592492e-06,5.01358590554446e-06,6.336871592793614e-06
22,5.1001020437979605e-06,4.412358975969255e-06,5.501975010702154e-06
23,4.572844773065299e-06,3.955590727855451e-06,4.882863322563935e-06
24,4.102695584151661e-06,3.519071924529271e-06,4.4023954615113325e-06
25,3.614893330450286e-06,3.094312887697015e-06,3.890466359735001e-06
26,3.2964521778922062e-06,2.7893656806554645e-06,3.516010792736779e-06
27,3.2800121516629588e-06,2.761747509794077e-06,3.2306120374414604e-06
28,2.73645105153264e-06,2.270705635964987e-06,2.9317163807718316e-06
29,2.4880205273802858e-06,2.0639504327846225e-06,2.6817342586582527e-06
30,2.342122570553329e-06,1.962218675544136e-06,2.5207846192643046e-06
31,2.101403651977307e-06,1.744676410453394e-06,2.2606386664847378e-06
32,1.9551375771698076e-06,1.6044565427364432e-06,2.0298350591474446e-06
33,1.8102323338098358e-06,1.5363414149760501e-06,1.9435747162788175e-06
34,1.643717610022577e-06,1.3820883850712562e-06,1.7622746781853493e-06
35,1.5098190715434612e-06,1.2890471907667234e-06,1.597269488229358e-06
36,1.4404923831534688e-06,1.2569852287924732e-06,1.502689656263101e-06
37,1.3399409226622083e-06,1.1762448366425815e-06,1.4332351838675095e-06
38,1.2935781796841184e-06,1.146101226368046e-06,1.3357733905650093e-06
39,1.2096195405320032e-06,1.0885596566367894e-06,1.2622475651369314e-06
40,1.1876031749125104e-06,1.0670514711819123e-06,1.197886831505457e-06
41,1.1821638281617197e-06,1.0846827080968069e-06,1.1633462690952001e-06
42,1.0520844853090239e-06,9.622489187677274e-07,1.1462732345535187e-06
43,1.1122333489765879e-06,1.0275871318299323e-06,1.047700834533316e-06
44,9.783565246834769e-07,8.929132491175551e-07,1.014845338431769e-06
45,9.818431863095611e-07,9.175191166832519e-07,9.78287062025629e-07
46,9.569000667397631e-07,8.763507253206626e-07,9.489004355600628e-07
47,9.046566447068471e-07,8.332667107424641e-07,9.29488351175678e-07
48,8.652677365716954e-07,8.038579153435421e-07,9.114536965171283e-07
49,9.195705956699385e-07,8.455988904643164e-07,8.81548430697876e-07
50,8.340383033100807e-07,7.806888220329711e-07,8.639392490294995e-07
51,8.558237141187419e-07,7.955037517604069e-07,8.355556246897322e-07
52,8.32147350138257e-07,7.706289579800796e-07,8.972280056696036e-07
