action_index,position,expression,length,operon_mse,validation_mse
0,0,(0.002768 + (1.923915 * (0.868234 * X2))),5,1.1335775525367353e-05,1.2733681614918169e-05
0,1,(0.000407 + (1.000031 * ((0.086324 * X1) - ((-2.166992) * X2)))),7,6.163648777146591e-06,6722802.0
0,2,(0.000361 + (0.935452 * (((2.965497 * X2) / (sqrt(1 + (27.366707 * X3) ^ 2))) + (0.097845 * X1)))),9,4.239877853251528e-06,7557530.0
0,3,((-0.000009) + (1.000000 * (((((-0.228312) * X1) / (sqrt(1 + (77.498093 * X3) ^ 2))) - ((-2.688134) * X2)) + (0.269942 * X1)))),11,2.956794844521937e-07,21877946.0
0,4,((-0.000016) + (1.000002 * ((0.229557 * X1) + (((((-0.191623) * X1) / (sqrt(1 + (104.680504 * X3) ^ 2))) - ((-2.762117) * X2)) / (sqrt(1 + (8.515975 * X3) ^ 2)))))),13,1.986472568660247e-07,19408140.0
0,5,(0.000002 + (0.999063 * ((0.373262 * X1) + ((((-0.262038) * X1) / (sqrt(1 + (30.854240 * X3) ^ 2))) - (((0.091576 * X1) / (sqrt(1 + ((-409.677277) * X3) ^ 2))) - (2.717356 * X2)))))),15,2.353094785689791e-08,26504712.0
0,6,(0.000002 + (0.999945 * (((((-0.261860) * X1) / (sqrt(1 + (30.831085 * X3) ^ 2))) - (((0.091532 * X1) / (sqrt(1 + ((-408.492004) * X3) ^ 2))) - (2.714905 * X2))) + tanh((0.373145 * X1))))),16,2.3499071133414873e-08,51753432.0
0,7,(0.000000 + (1.000000 * ((0.325633 * X1) - (((((0.222305 * X1) / (sqrt(1 + (37.880039 * X3) ^ 2))) - (2.731505 * X2)) - (((-0.085072) * X1) / (sqrt(1 + (479.558044 * X3) ^ 2)))) / (sqrt(1 + (4.080919 * X3) ^ 2)))))),17,1.964488127725872e-08,24747998.0
0,8,(0.000000 + (1.000000 * (((((((-0.222401) * X1) / (sqrt(1 + (37.849461 * X3) ^ 2))) - ((-2.731390) * X2)) - ((0.085100 * X1) / (sqrt(1 + (479.253448 * X3) ^ 2)))) / (sqrt(1 + (4.073955 * X3) ^ 2))) + tanh((0.325812 * X1))))),18,1.9633272785313238e-08,34810288.0
0,9,((-0.000000) + (1.000000 * ((((-0.289639) * X1) / (sqrt(1 + (19.503832 * X3) ^ 2))) - ((((-2.717517) * X2) + ((-0.447012) * X1)) - ((((-0.102583) * X1) - ((0.045259 * X1) / (sqrt(1 + ((-1639.044434) * X3) ^ 2)))) / (sqrt(1 + (136.051773 * X3) ^ 2))))))),19,2.6943589581662764e-09,27614642.0
0,10,((-0.000000) + (1.000000 * tanh(((((2.717913 * X2) + (((-0.289704) * X1) / (sqrt(1 + (19.493368 * X3) ^ 2)))) - (((0.102612 * X1) - (((-0.045306) * X1) / (sqrt(1 + ((-1634.743408) * X3) ^ 2)))) / (sqrt(1 + (135.864822 * X3) ^ 2)))) + (0.447169 * X1))))),20,2.6929389829177808e-09,0.001489360467530787
0,11,(0.000000 + (0.999994 * (((((2.720786 * X2) + (((-0.268146) * X1) / (sqrt(1 + (20.794603 * X3) ^ 2)))) - (((0.100416 * X1) - (((-0.044996) * X1) / (sqrt(1 + ((-1641.322021) * X3) ^ 2)))) / (sqrt(1 + (139.119095 * X3) ^ 2)))) / (sqrt(1 + (1.835799 * X3) ^ 2))) + (0.423155 * X1)))),21,2.544766619649863e-09,27159080.0
0,12,((-0.000000) + (1.000000 * (((2.717619 * X2) + (((-0.335680) * X1) / (sqrt(1 + (10.698246 * X3) ^ 2)))) - ((((-0.576565) * X1) - (((-0.041939) * X1) / (sqrt(1 + ((-1634.743408) * X3) ^ 2)))) - ((((-0.575603) * X1) - (((-0.386939) * X1) / (sqrt(1 + (81.567207 * X3) ^ 2)))) / (sqrt(1 + (169.478485 * X3) ^ 2))))))),23,1.3184550118339189e-09,27564312.0
0,13,((-0.000001) + (1.000004 * tanh(((((2.718015 * X2) + (((-0.336065) * X1) / (sqrt(1 + (10.676891 * X3) ^ 2)))) - (((0.041959 * X1) / (sqrt(1 + ((-1634.743408) * X3) ^ 2))) - ((((-0.576680) * X1) - (((-0.387754) * X1) / (sqrt(1 + (81.410477 * X3) ^ 2)))) / (sqrt(1 + (169.258514 * X3) ^ 2))))) + (0.577228 * X1))))),24,1.3158096834331445e-09,0.001489372574724257
0,14,(0.000000 + (1.000000 * ((((2.718044 * X2) + ((((-0.320764) * X1) - ((0.708025 * X1) / (sqrt(1 + ((-1619.741455) * X3) ^ 2)))) / (sqrt(1 + (13.672648 * X3) ^ 2)))) - ((((-0.706152) * X1) / (sqrt(1 + ((-1531.429565) * X3) ^ 2))) - ((((-0.111116) * X1) - ((0.075746 * X1) / (sqrt(1 + (505.657867 * X3) ^ 2)))) / (sqrt(1 + (71.286789 * X3) ^ 2))))) + (0.517175 * X1)))),27,6.883538183899418e-10,27674690.0
0,15,(0.000000 + (0.999999 * ((((2.718059 * X2) + ((((-0.317411) * X1) - (((-1.390953) * X1) / (sqrt(1 + ((-1619.741455) * X3) ^ 2)))) / (sqrt(1 + (14.069761 * X3) ^ 2)))) - (((1.396830 * X1) / (sqrt(1 + ((-1662.910767) * X3) ^ 2))) - ((tanh(((-0.114113) * X1)) - ((0.072512 * X1) / (sqrt(1 + (497.171844 * X3) ^ 2)))) / (sqrt(1 + (71.438568 * X3) ^ 2))))) + (0.517472 * X1)))),28,6.678643749147284e-10,46092648.0
