iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.108799264,120.70000457763672,,,5000,5000,0,0,1.0,0.10846482,0.112251885,,1,10,,,
1,0.10977759,102.0999984741211,1000.0,0.8,15000,5000,9933,67,1.0,0.10936892,0.11348416,0,1,10,0,120.70000457763672,0.8
2,0.11736841,200.5,1000.0,0.7000000000000001,16655,5000,11250,405,1.0,0.11288464,0.12771799,0,10,10,0,120.70000457763672,0.7000000000000001
3,0.11556342,97.4000015258789,1000.0,0.6000000000000001,16745,5000,11250,495,1.0,0.11210981,0.12404326,0,2,10,2,200.5,0.6000000000000001
4,0.11489983,92.4000015258789,1000.0,0.5,16838,5000,11250,588,1.0,0.11261346,0.12198013,0,6,10,2,200.5,0.5
5,0.11493945,52.79999923706055,1000.0,0.4,16922,5000,11250,672,1.0,0.11253713,0.122057356,0,1,10,2,200.5,0.4
6,0.11504242,52.79999923706055,1000.0,0.30000000000000004,16982,5000,11250,732,1.0,0.11244513,0.12232655,0,1,10,2,200.5,0.30000000000000004
7,0.11600202,52.79999923706055,1000.0,0.19999999999999996,17026,5000,11250,776,1.0,0.11271186,0.124265224,0,1,10,2,200.5,0.19999999999999996
8,0.116915815,52.79999923706055,1000.0,0.09999999999999998,17026,5000,11250,776,1.0,0.11287258,0.12610927,0,1,10,2,200.5,0.09999999999999998
9,0.12590304,307.5,205.90001,0.0,17057,5000,11250,807,1.0,0.12840626,0.13589816,0,3,10,2,200.5,0.0
10,0.13851924,185.40000915527344,257.6,0.0,17216,5000,11250,966,1.0,0.15115985,0.15204452,0,1,10,9,307.5,0.0
11,0.16754505,184.90000915527344,365.1,0.0,17467,5000,11250,1217,1.0,0.23213615,0.1732356,0,5,10,9,307.5,0.0
12,0.17967072,60.70000076293945,248.6,0.0,17606,5000,11250,1356,1.0,0.24977867,0.18865532,0,1,10,9,307.5,0.0
13,0.18947965,61.60000228881836,258.4,0.0,17716,5000,11250,1466,1.0,0.27402002,0.19833198,0,10,10,9,307.5,0.0
14,0.20861027,58.900001525878906,325.30002,0.0,17839,5000,11250,1589,1.0,0.3202564,0.21273832,0,9,10,9,307.5,0.0
