iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.10898534,93.70000457763672,,,5000,5000,0,0,1.0,0.1091993,0.111458614,,1,10,,,
1,0.11109461,91.0999984741211,1000.0,0.8,15000,5000,9914,86,1.0,0.11036928,0.11573551,0,1,10,0,93.70000457763672,0.8
2,0.120227896,245.60000610351562,1000.0,0.7000000000000001,16788,5000,11250,538,1.0,0.113041565,0.13452476,0,5,10,0,93.70000457763672,0.7000000000000001
3,0.11759853,244.5,1000.0,0.6000000000000001,16884,5000,11250,634,1.0,0.11254862,0.12855193,0,2,10,2,245.60000610351562,0.6000000000000001
4,0.11665404,245.40000915527344,1000.0,0.5,16974,5000,11250,724,1.0,0.111898705,0.12690797,0,10,10,2,245.60000610351562,0.5
5,0.116751224,241.5,1000.0,0.4,17065,5000,11250,815,1.0,0.11210441,0.12635043,0,1,10,2,245.60000610351562,0.4
6,0.11654876,243.60000610351562,1000.0,0.30000000000000004,17153,5000,11250,903,1.0,0.1113724,0.12697655,0,1,10,2,245.60000610351562,0.30000000000000004
7,0.11704131,243.60000610351562,1000.0,0.19999999999999996,17212,5000,11250,962,1.0,0.1111393,0.12821323,0,3,10,2,245.60000610351562,0.19999999999999996
8,0.118353665,239.90000915527344,1000.0,0.09999999999999998,17212,5000,11250,962,1.0,0.11087993,0.13156687,0,1,10,2,245.60000610351562,0.09999999999999998
9,0.12705106,244.6999969482422,249.7,0.0,17256,5000,11250,1006,1.0,0.12300972,0.14376238,0,1,10,2,245.60000610351562,0.0
10,0.13663791,244.6999969482422,250.1,0.0,17304,5000,11250,1054,1.0,0.13788866,0.15516767,0,1,10,2,245.60000610351562,0.0
11,0.12879275,42.400001525878906,245.90001,0.0,17349,5000,11250,1099,1.0,0.11789726,0.15140477,0,1,10,2,245.60000610351562,0.0
12,0.12964614,167.5,247.0,0.0,17393,5000,11250,1143,1.0,0.115760975,0.15977694,0,3,10,2,245.60000610351562,0.0
13,0.13131578,168.40000915527344,245.5,0.0,17435,5000,11250,1185,1.0,0.116496496,0.1617666,0,6,10,2,245.60000610351562,0.0
14,0.13343556,159.90000915527344,248.8,0.0,17481,5000,11250,1231,1.0,0.11686835,0.16736141,0,1,10,2,245.60000610351562,0.0
