generation,best_fitness,elapsed
000,[-0.42948636],1.971
001,[-0.42948636],0.945
002,[-0.42948636],0.850
003,[-0.42948636],0.858
004,[-0.42948636],0.845
005,[-0.42948636],0.825
006,[-0.42948636],0.836
007,[-0.42948636],0.834
008,[-0.42948636],0.847
009,[-0.42948636],0.867
010,[-0.42948636],1.990
011,[-0.42948636],0.853
012,[-0.42948636],0.830
013,[-0.42948636],0.852
014,[-0.42948636],0.863
015,[-0.42948636],0.828
016,[-0.42948636],0.830
017,[-0.42948636],0.838
018,[-0.42948636],0.846
019,[-0.42948636],0.858
020,[-0.42948636],0.958
021,[-0.4184755],0.946
022,[-0.4184755],0.974
023,[-0.4184755],0.865
024,[-0.4184755],0.923
025,[-0.4184755],0.855
026,[-0.4184755],0.831
027,[-0.4184755],0.868
028,[-0.4184755],0.964
029,[-0.4184755],0.930
030,[-0.4184755],0.959
031,[-0.4184755],0.842
032,[-0.4184755],0.871
033,[-0.4184755],0.864
034,[-0.4184755],0.876
035,[-0.4184755],0.866
036,[-0.4184755],0.865
037,[-0.4184755],0.882
038,[-0.4184755],0.879
039,[-0.4184755],1.001
040,[-0.4184755],0.979
041,[-0.4184755],1.041
042,[-0.4184755],0.855
043,[-0.4184755],0.897
044,[-0.4184755],1.201
045,[-0.4184755],1.129
046,[-0.4184755],0.864
047,[-0.4184755],0.969
048,[-0.4184755],0.954
049,[-0.4184755],0.987
050,[-0.4184755],0.890
051,[-0.4184755],0.972
052,[-0.4184755],0.969
053,[-0.4184755],0.976
054,[-0.4184755],0.855
055,[-0.4184755],0.860
056,[-0.4184755],0.960
057,[-0.4184755],0.944
058,[-0.4184755],0.959
059,[-0.4184755],1.104
060,[-0.4184755],1.029
061,[-0.4184755],0.991
062,[-0.4184755],0.869
063,[-0.4184755],0.875
064,[-0.4184755],0.887
065,[-0.4184755],0.862
066,[-0.4184755],0.887
067,[-0.4184755],1.004
068,[-0.4184755],0.968
069,[-0.4184755],0.979
070,[-0.4184755],0.876
071,[-0.4184755],1.000
072,[-0.4184755],0.895
073,[-0.4184755],0.855
074,[-0.4184755],0.965
075,[-0.4184755],1.102
076,[-0.4184755],1.019
077,[-0.4184755],0.864
078,[-0.4184755],0.891
079,[-0.4184755],1.000
080,[-0.4184755],0.884
081,[-0.4184755],0.861
082,[-0.4184755],0.868
083,[-0.4184755],0.863
084,[-0.4184755],0.892
085,[-0.4184755],0.976
086,[-0.4184755],0.933
087,[-0.4184755],0.993
088,[-0.4184755],0.855
089,[-0.4184755],0.876
090,[-0.4184755],0.858
091,[-0.4184755],1.126
092,[-0.4184755],1.150
093,[-0.4184755],1.036
094,[-0.4184755],0.928
095,[-0.4184755],0.868
096,[-0.4184755],0.965
097,[-0.4184755],0.984
098,[-0.4184755],0.861
099,[-0.4184755],0.848
100,[-0.4184755],0.861
101,[-0.4184755],0.878
102,[-0.4184755],0.974
103,[-0.4184755],0.915
104,[-0.4184755],1.017
105,[-0.4184755],0.907
106,[-0.4184755],0.856
107,[-0.4184755],1.132
108,[-0.4184755],0.943
109,[-0.4184755],0.876
110,[-0.4184755],0.872
111,[-0.4184755],0.884
112,[-0.4184755],0.854
113,[-0.4184755],0.883
114,[-0.4184755],0.857
115,[-0.4184755],0.865
116,[-0.4184755],0.852
117,[-0.4184755],0.918
118,[-0.4184755],0.856
119,[-0.4184755],0.864
120,[-0.4184755],0.851
121,[-0.4184755],0.953
122,[-0.4184755],0.936
123,[-0.4184755],0.949
124,[-0.4184755],1.123
125,[-0.4184755],1.051
126,[-0.4184755],0.970
127,[-0.4184755],0.859
128,[-0.4184755],0.891
129,[-0.4184755],0.866
130,[-0.4184755],0.941
131,[-0.4184755],0.952
132,[-0.4184755],0.952
133,[-0.4184755],0.821
134,[-0.4184755],0.871
135,[-0.4184755],0.837
136,[-0.4184755],0.950
137,[-0.4184755],0.957
138,[-0.4184755],0.957
139,[-0.4184755],0.854
140,[-0.4184755],1.176
141,[-0.4184755],1.233
142,[-0.4184755],1.052
143,[-0.4184755],0.862
144,[-0.4184755],0.843
145,[-0.4184755],0.871
146,[-0.4184755],0.859
147,[-0.4184755],0.950
148,[-0.4184755],0.935
149,[-0.4184755],0.978
150,[-0.4184755],0.866
151,[-0.4184755],0.841
152,[-0.4184755],0.972
153,[-0.4184755],0.934
154,[-0.4184755],0.981
155,[-0.4184755],0.857
156,[-0.4184755],1.110
157,[-0.4184755],0.926
158,[-0.4184755],0.853
159,[-0.4184755],0.948
160,[-0.4184755],0.950
161,[-0.4184755],0.964
162,[-0.4184755],0.864
163,[-0.4184755],0.847
164,[-0.4184755],1.002
165,[-0.4184755],0.922
166,[-0.4184755],0.980
167,[-0.4184755],0.856
168,[-0.4184755],0.853
169,[-0.4184755],1.034
170,[-0.4184755],0.866
171,[-0.4184755],0.904
172,[-0.4184755],1.117
173,[-0.4184755],1.061
174,[-0.4184755],0.981
175,[-0.4184755],0.858
176,[-0.4184755],0.902
177,[-0.4184755],0.997
178,[-0.4184755],0.934
179,[-0.4184755],0.958
180,[-0.4184755],0.843
181,[-0.4184755],0.904
182,[-0.4184755],1.018
183,[-0.4184755],0.992
184,[-0.4184755],1.013
185,[-0.4184755],0.961
186,[-0.4184755],0.844
187,[-0.4184755],1.034
188,[-0.4184755],1.146
189,[-0.4184755],1.165
190,[-0.4184755],1.078
191,[-0.4184755],0.840
192,[-0.4184755],0.903
193,[-0.4184755],0.858
194,[-0.4184755],0.884
195,[-0.4184755],0.895
196,[-0.4184755],0.869
197,[-0.4184755],0.862
198,[-0.4184755],0.877
199,[-0.4184755],0.856
200,[-0.4184755],0.913
201,[-0.4184755],0.972
202,[-0.4184755],0.926
203,[-0.4184755],1.060
204,[-0.4184755],1.078
