iteration,max_fitness,time,test_accuracy
0,-1.3296342,0.0,-1.8357372
1,-1.3296342,2.2024550437927246,[-1.8357372]
2,-1.3042755,1.2267975807189941,[-1.7993224]
3,-1.3042755,1.301151990890503,[-1.7993224]
4,-1.3042755,1.3230657577514648,[-1.7993224]
5,-1.3042755,1.3178880214691162,[-1.7993224]
6,-1.3042755,1.282010555267334,[-1.7993224]
7,-1.3042755,1.3082382678985596,[-1.7993224]
8,-1.3042755,1.3471403121948242,[-1.7993224]
9,-1.3042755,1.339747667312622,[-1.7993224]
10,-1.3042755,1.2404601573944092,[-1.7993224]
11,-1.3042755,1.3544890880584717,[-1.7993224]
12,-1.3042755,1.2794721126556396,[-1.7993224]
13,-1.3042755,1.2908775806427002,[-1.7993224]
14,-1.3042755,1.3215787410736084,[-1.7993224]
15,-1.3042755,1.2919344902038574,[-1.7993224]
16,-1.3042755,1.3293540477752686,[-1.7993224]
17,-1.3042755,1.3274509906768799,[-1.7993224]
18,-1.3042755,1.2671184539794922,[-1.7993224]
19,-1.3042755,1.3365116119384766,[-1.7993224]
20,-1.3042755,1.315042495727539,[-1.7993224]
21,-1.3042755,1.2620954513549805,[-1.7993224]
22,-1.3042755,1.3130731582641602,[-1.7993224]
23,-1.3042755,1.3967154026031494,[-1.7993224]
24,-1.3042755,1.3277978897094727,[-1.7993224]
25,-1.3042755,1.3213696479797363,[-1.7993224]
26,-1.3042755,1.286407709121704,[-1.7993224]
27,-1.3042755,1.358299970626831,[-1.7993224]
28,-1.3042755,1.3686115741729736,[-1.7993224]
29,-1.3042755,1.2738842964172363,[-1.7993224]
30,-1.3042755,1.2724378108978271,[-1.7993224]
31,-1.3042755,1.2810587882995605,[-1.7993224]
32,-1.3042755,1.2791063785552979,[-1.7993224]
33,-1.3042755,1.3018929958343506,[-1.7993224]
34,-1.3042755,1.2776172161102295,[-1.7993224]
35,-1.3042755,1.204993486404419,[-1.7993224]
36,-1.3042755,1.2164678573608398,[-1.7993224]
37,-1.3042755,1.3181519508361816,[-1.7993224]
38,-1.3042755,1.3187589645385742,[-1.7993224]
39,-1.3042755,1.348315715789795,[-1.7993224]
40,-1.3042755,1.3256688117980957,[-1.7993224]
41,-1.3042755,1.2516489028930664,[-1.7993224]
42,-1.3042755,1.2991838455200195,[-1.7993224]
43,-1.3042755,1.244297742843628,[-1.7993224]
44,-1.3042755,1.2472515106201172,[-1.7993224]
45,-1.3042755,1.3149597644805908,[-1.7993224]
46,-1.3042755,1.3299775123596191,[-1.7993224]
47,-1.3042755,1.3011658191680908,[-1.7993224]
48,-1.3042755,1.3914134502410889,[-1.7993224]
49,-1.3042755,1.3479549884796143,[-1.7993224]
50,-1.3042755,1.3025221824645996,[-1.7993224]
51,-1.3042755,1.2621264457702637,[-1.7993224]
52,-1.3042755,2.041591167449951,[-1.7993224]
53,-1.3042755,1.2719051837921143,[-1.7993224]
54,-1.3042755,1.3220579624176025,[-1.7993224]
55,-1.3042755,1.3094561100006104,[-1.7993224]
56,-1.3042755,1.2957065105438232,[-1.7993224]
57,-1.3042755,1.24290132522583,[-1.7993224]
58,-1.3042755,1.2858457565307617,[-1.7993224]
59,-1.3042755,1.3238468170166016,[-1.7993224]
60,-1.3042755,1.2306773662567139,[-1.7993224]
61,-1.3042755,1.2966787815093994,[-1.7993224]
62,-1.3042755,1.3249495029449463,[-1.7993224]
63,-1.3042755,1.3499951362609863,[-1.7993224]
64,-1.3042755,1.3441786766052246,[-1.7993224]
65,-1.3042755,1.2738487720489502,[-1.7993224]
66,-1.3042755,1.288398027420044,[-1.7993224]
67,-1.3042755,1.2901318073272705,[-1.7993224]
68,-1.3042755,1.244964599609375,[-1.7993224]
69,-1.3042755,1.357736349105835,[-1.7993224]
70,-1.3042755,1.295621395111084,[-1.7993224]
71,-1.3042755,1.3264846801757812,[-1.7993224]
72,-1.3042755,1.372474193572998,[-1.7993224]
73,-1.3042755,1.3040475845336914,[-1.7993224]
74,-1.3042755,1.28603196144104,[-1.7993224]
75,-1.3042755,1.215740442276001,[-1.7993224]
76,-1.3042755,1.2514159679412842,[-1.7993224]
77,-1.3042755,1.3021273612976074,[-1.7993224]
78,-1.3042755,1.2785592079162598,[-1.7993224]
79,-1.3042755,1.263875961303711,[-1.7993224]
80,-1.3042755,1.2217187881469727,[-1.7993224]
81,-1.3042755,1.2931077480316162,[-1.7993224]
82,-1.3042755,1.299760341644287,[-1.7993224]
83,-1.3042755,1.2790591716766357,[-1.7993224]
84,-1.3042755,1.3298203945159912,[-1.7993224]
85,-1.3042755,1.2383666038513184,[-1.7993224]
86,-1.3042755,1.2498645782470703,[-1.7993224]
87,-1.3042755,1.3093652725219727,[-1.7993224]
88,-1.3042755,1.2955329418182373,[-1.7993224]
89,-1.3042755,1.3147802352905273,[-1.7993224]
90,-1.3042755,1.3099277019500732,[-1.7993224]
91,-1.3042755,1.2371585369110107,[-1.7993224]
92,-1.3042755,1.289482593536377,[-1.7993224]
93,-1.3042755,1.2662463188171387,[-1.7993224]
94,-1.3042755,1.2814090251922607,[-1.7993224]
95,-1.3042755,1.2827270030975342,[-1.7993224]
96,-1.3042755,1.386934757232666,[-1.7993224]
97,-1.3042755,1.3701748847961426,[-1.7993224]
98,-1.3042755,1.3255548477172852,[-1.7993224]
99,-1.3042755,1.3469691276550293,[-1.7993224]
100,-1.3042755,1.331996202468872,[-1.7993224]
101,-1.3042755,1.3082020282745361,[-1.7993224]
102,-1.2147217,2.1758506298065186,[-1.9648714]
103,-1.2147217,1.3256032466888428,[-1.9648714]
104,-1.2147217,1.3018505573272705,[-1.9648714]
105,-1.2147217,1.2851762771606445,[-1.9648714]
106,-1.2147217,1.2954473495483398,[-1.9648714]
107,-1.2147217,1.2541108131408691,[-1.9648714]
108,-1.2147217,1.2774109840393066,[-1.9648714]
109,-1.2147217,1.3602912425994873,[-1.9648714]
110,-1.2147217,1.3521168231964111,[-1.9648714]
111,-1.2147217,1.3920409679412842,[-1.9648714]
112,-1.2147217,1.3212885856628418,[-1.9648714]
113,-1.2147217,1.3368830680847168,[-1.9648714]
114,-1.2147217,1.3558268547058105,[-1.9648714]
115,-1.2147217,1.379401445388794,[-1.9648714]
