iteration,max_fitness,time,test_accuracy
0,0.6390639,0.0,0.1385031
1,0.7236379,2.8983542919158936,[0.65988594]
2,0.7236379,1.6559078693389893,[0.65988594]
3,0.7236425,1.620476245880127,[0.65970576]
4,0.7301011,1.5801327228546143,[0.64059895]
5,0.74643123,1.5420114994049072,[0.39899468]
6,0.7471613,1.6227006912231445,[0.36868545]
7,0.7471613,1.572571039199829,[0.36868545]
8,0.7585505,1.5808205604553223,[0.4200214]
9,0.7600646,1.6025056838989258,[0.41352436]
10,0.779079,1.6522316932678223,[0.4845634]
11,0.7876932,1.5771193504333496,[0.43725085]
12,0.7885019,1.6538748741149902,[0.5214191]
13,0.7885019,1.6160824298858643,[0.5214191]
14,0.7885019,1.616593599319458,[0.5214191]
15,0.7885019,1.6243844032287598,[0.5214191]
16,0.789166,1.680741310119629,[0.50446355]
17,0.789166,1.6831247806549072,[0.50446355]
18,0.789166,1.626183032989502,[0.50446355]
19,0.789166,1.6647043228149414,[0.50446355]
20,0.79162383,1.596487045288086,[0.4956745]
21,0.7929419,1.585211992263794,[0.47219294]
22,0.7929419,1.6217267513275146,[0.47219294]
23,0.7929419,2.999877452850342,[0.47219294]
24,0.7929419,1.6177313327789307,[0.47219294]
25,0.80310816,1.5329680442810059,[0.6043747]
26,0.8042844,1.640488862991333,[0.6063539]
27,0.8042844,1.5998921394348145,[0.6063539]
28,0.8042844,1.6072640419006348,[0.6063539]
29,0.8042844,1.5540461540222168,[0.6063539]
30,0.8042844,1.5978991985321045,[0.6063539]
31,0.8042844,1.5509204864501953,[0.6063539]
32,0.8047027,1.5943880081176758,[0.6084498]
33,0.8047027,1.6124708652496338,[0.6084498]
34,0.8047027,1.6152760982513428,[0.6084498]
35,0.8047027,1.5823171138763428,[0.6084498]
36,0.8047027,1.663649559020996,[0.6084498]
37,0.8047027,1.632214069366455,[0.6084498]
38,0.8047027,1.6381523609161377,[0.6084498]
39,0.8047027,1.6043124198913574,[0.6084498]
40,0.8051317,1.5998115539550781,[0.6062271]
41,0.8051317,1.684739351272583,[0.6062271]
42,0.8051317,1.5526554584503174,[0.6062271]
43,0.8051317,1.6013684272766113,[0.6062271]
44,0.8051317,1.5635156631469727,[0.6062271]
45,0.8051317,1.6178972721099854,[0.6062271]
46,0.8051317,1.630645751953125,[0.6062271]
47,0.8051317,1.5772254467010498,[0.6062271]
48,0.8051317,1.657426357269287,[0.6062271]
49,0.8051317,1.6338701248168945,[0.6062271]
50,0.8051317,1.633648157119751,[0.6062271]
51,0.8051317,1.5866034030914307,[0.6062271]
52,0.8051317,1.5722601413726807,[0.6062271]
53,0.8055935,1.5528459548950195,[0.60768044]
54,0.8055935,1.565920114517212,[0.60768044]
55,0.8055935,1.5287957191467285,[0.60768044]
56,0.8055935,1.6024916172027588,[0.60768044]
57,0.8055935,1.5786714553833008,[0.60768044]
58,0.8055935,1.6586859226226807,[0.60768044]
59,0.80603486,1.6161823272705078,[0.6053257]
60,0.80603486,1.6542086601257324,[0.6053257]
61,0.80603486,1.6331403255462646,[0.6053257]
62,0.80603486,1.6509733200073242,[0.6053257]
63,0.80603486,1.6310250759124756,[0.6053257]
64,0.80603486,1.5703659057617188,[0.6053257]
65,0.80603486,1.5118896961212158,[0.6053257]
66,0.80603486,1.580132246017456,[0.6053257]
67,0.80603486,1.563553810119629,[0.6053257]
68,0.80603486,1.6025986671447754,[0.6053257]
69,0.80603486,1.5513136386871338,[0.6053257]
70,0.80603486,1.585000991821289,[0.6053257]
71,0.80603486,1.5675127506256104,[0.6053257]
72,0.80603486,1.6225647926330566,[0.6053257]
73,0.80603486,1.5967142581939697,[0.6053257]
74,0.80603486,1.606917142868042,[0.6053257]
75,0.80603486,2.9967691898345947,[0.6053257]
76,0.81123215,1.6792051792144775,[0.6220356]
77,0.81123215,1.6187798976898193,[0.6220356]
78,0.81123215,1.6616361141204834,[0.6220356]
79,0.81123215,1.6101927757263184,[0.6220356]
80,0.81123215,1.6897869110107422,[0.6220356]
81,0.81123215,1.6331779956817627,[0.6220356]
82,0.81123215,1.600949764251709,[0.6220356]
83,0.81123215,1.559993028640747,[0.6220356]
84,0.81123215,1.5914616584777832,[0.6220356]
85,0.81123215,1.578167200088501,[0.6220356]
86,0.81123215,1.5635151863098145,[0.6220356]
87,0.81123215,1.5836691856384277,[0.6220356]
88,0.81123215,1.5383691787719727,[0.6220356]
89,0.81123215,1.6408936977386475,[0.6220356]
90,0.81123215,1.5866162776947021,[0.6220356]
91,0.81123215,1.5691924095153809,[0.6220356]
92,0.81129825,1.541198968887329,[0.6216776]
93,0.81129825,1.5165281295776367,[0.6216776]
94,0.81129825,1.5335180759429932,[0.6216776]
95,0.81129825,1.5243422985076904,[0.6216776]
96,0.81129825,1.482738733291626,[0.6216776]
97,0.81129825,1.581822156906128,[0.6216776]
98,0.81129825,1.571413516998291,[0.6216776]
99,0.81129825,1.6080269813537598,[0.6216776]
100,0.81129825,1.6013221740722656,[0.6216776]
