iteration,max_fitness,time,test_accuracy
0,0.64466447,0.0,0.6105611
1,0.64466447,1.822704792022705,[0.6105611]
2,0.64466447,0.9756903648376465,[0.6105611]
3,0.64466447,0.9250051975250244,[0.6105611]
4,0.64466447,0.9477343559265137,[0.6105611]
5,0.64466447,0.962573766708374,[0.6105611]
6,0.64466447,0.9295780658721924,[0.6105611]
7,0.64466447,0.9260063171386719,[0.6105611]
8,0.64466447,0.9596717357635498,[0.6105611]
9,0.64466447,0.9112358093261719,[0.6105611]
10,0.64466447,0.9183435440063477,[0.6105611]
11,0.64466447,0.9744195938110352,[0.6105611]
12,0.64466447,0.9387209415435791,[0.6105611]
13,0.64466447,0.9036273956298828,[0.6105611]
14,0.64466447,0.9549131393432617,[0.6105611]
15,0.64466447,0.9426028728485107,[0.6105611]
16,0.64466447,0.9560229778289795,[0.6105611]
17,0.64466447,0.935035228729248,[0.6105611]
18,0.64466447,0.9101357460021973,[0.6105611]
19,0.64466447,0.9310216903686523,[0.6105611]
20,0.64466447,0.9360752105712891,[0.6105611]
21,0.64466447,0.9047400951385498,[0.6105611]
22,0.64466447,0.9273700714111328,[0.6105611]
23,0.64466447,0.9792983531951904,[0.6105611]
24,0.64466447,1.737640619277954,[0.6105611]
25,0.64466447,0.9583382606506348,[0.6105611]
26,0.64466447,0.9572596549987793,[0.6105611]
27,0.64466447,0.9570200443267822,[0.6105611]
28,0.64466447,0.9582676887512207,[0.6105611]
29,0.64466447,0.9576375484466553,[0.6105611]
30,0.64466447,0.959453821182251,[0.6105611]
31,0.64466447,0.948462724685669,[0.6105611]
32,0.64466447,0.9684398174285889,[0.6105611]
33,0.64466447,0.9204459190368652,[0.6105611]
34,0.64466447,0.9997925758361816,[0.6105611]
35,0.64466447,0.9582257270812988,[0.6105611]
36,0.64466447,0.9517621994018555,[0.6105611]
37,0.64466447,1.004035234451294,[0.6105611]
38,0.64466447,0.9014792442321777,[0.6105611]
39,0.64466447,0.9608733654022217,[0.6105611]
40,0.64466447,0.9438202381134033,[0.6105611]
41,0.64466447,0.9155435562133789,[0.6105611]
42,0.64466447,0.9329793453216553,[0.6105611]
43,0.64466447,0.9409620761871338,[0.6105611]
44,0.64466447,0.9322774410247803,[0.6105611]
45,0.64466447,0.8996634483337402,[0.6105611]
46,0.64466447,0.9070048332214355,[0.6105611]
47,0.64466447,0.9821076393127441,[0.6105611]
48,0.64466447,0.9965529441833496,[0.6105611]
49,0.64466447,0.9614269733428955,[0.6105611]
50,0.64466447,0.975855827331543,[0.6105611]
51,0.64466447,0.930250883102417,[0.6105611]
52,0.64466447,0.9323780536651611,[0.6105611]
53,0.64466447,0.9398512840270996,[0.6105611]
54,0.64466447,0.9449484348297119,[0.6105611]
55,0.64466447,0.8941400051116943,[0.6105611]
56,0.64466447,0.8869533538818359,[0.6105611]
57,0.64466447,0.9278049468994141,[0.6105611]
58,0.6567657,0.9165854454040527,[0.650165]
59,0.669967,0.9455363750457764,[0.68316835]
60,0.67766774,0.9980080127716064,[0.69636965]
61,0.679868,0.9258899688720703,[0.67326736]
62,0.6831683,0.9496273994445801,[0.679868]
63,0.6831683,0.9378607273101807,[0.679868]
64,0.6908691,0.9210851192474365,[0.68646866]
65,0.6908691,0.9177875518798828,[0.68646866]
66,0.6930693,0.9820678234100342,[0.68976897]
67,0.6930693,0.9755141735076904,[0.68976897]
68,0.6930693,0.9254815578460693,[0.68976897]
69,0.6930693,0.9237456321716309,[0.68976897]
70,0.6930693,0.9640631675720215,[0.68976897]
71,0.69636965,1.6939265727996826,[0.69636965]
72,0.69636965,0.9545857906341553,[0.69636965]
73,0.69636965,0.9316458702087402,[0.69636965]
74,0.69636965,0.921396017074585,[0.69636965]
75,0.7084708,0.9674646854400635,[0.6666667]
76,0.70957094,0.9489426612854004,[0.6666667]
77,0.70957094,0.9117214679718018,[0.6666667]
78,0.70957094,0.9495639801025391,[0.6666667]
79,0.70957094,0.9673833847045898,[0.6666667]
80,0.70957094,0.9604978561401367,[0.6666667]
81,0.70957094,0.8730061054229736,[0.6666667]
82,0.70957094,0.9467649459838867,[0.6666667]
83,0.70957094,0.9222660064697266,[0.6666667]
84,0.70957094,0.9300661087036133,[0.6666667]
85,0.70957094,0.9802768230438232,[0.6666667]
86,0.70957094,0.9080150127410889,[0.6666667]
87,0.70957094,0.9279234409332275,[0.6666667]
88,0.70957094,0.9953320026397705,[0.6666667]
89,0.70957094,0.9571518898010254,[0.6666667]
90,0.70957094,0.9690556526184082,[0.6666667]
91,0.70957094,0.9348196983337402,[0.6666667]
92,0.70957094,0.8830251693725586,[0.6666667]
93,0.70957094,0.9238064289093018,[0.6666667]
94,0.70957094,0.9036362171173096,[0.6666667]
95,0.70957094,0.9331188201904297,[0.6666667]
96,0.70957094,0.9749515056610107,[0.6666667]
97,0.70957094,0.9430713653564453,[0.6666667]
98,0.70957094,0.9647605419158936,[0.6666667]
99,0.70957094,0.9378490447998047,[0.6666667]
100,0.70957094,0.9478569030761719,[0.6666667]
101,0.70957094,0.9392869472503662,[0.6666667]
102,0.70957094,0.9338374137878418,[0.6666667]
103,0.70957094,0.9241526126861572,[0.6666667]
104,0.70957094,0.9592304229736328,[0.6666667]
