iteration,max_fitness,time,test_accuracy
0,-0.64910734,0.0,-0.80590606
1,-0.57073724,2.561539649963379,[-0.80590606]
2,-0.6452533,1.6865506172180176,[-0.80590606]
3,-0.6968075,1.7171096801757812,[-0.80590606]
4,-0.65829015,1.7443466186523438,[-0.80590606]
5,-0.6227274,1.6938660144805908,[-0.80590606]
6,-0.64341295,1.7302460670471191,[-0.80590606]
7,-0.64691794,1.7560677528381348,[-0.80590606]
8,-0.5101248,1.7764067649841309,[-0.80590606]
9,-0.29306233,1.7384350299835205,[-0.39218974]
10,-0.3089894,1.7499115467071533,[-0.39218974]
11,-0.24389172,1.7825160026550293,[-0.39218974]
12,-0.24018204,1.714026927947998,[-0.39218974]
13,-0.35840833,1.7306849956512451,[-0.39218974]
14,-0.31478214,1.7746899127960205,[-0.39218974]
15,-0.33351946,1.654895305633545,[-0.39218974]
16,0.029330075,1.6966662406921387,[0.02737266]
17,0.0236516,1.6948189735412598,[0.02737266]
18,0.026276171,1.7254526615142822,[0.02737266]
19,0.026482701,1.7433161735534668,[0.02737266]
20,0.025411963,1.7275645732879639,[0.02737266]
21,0.029768348,1.7339756488800049,[0.02737266]
22,0.026359677,1.6740748882293701,[0.02737266]
23,0.028952062,1.661520004272461,[0.02737266]
24,0.0308941,1.7747251987457275,[0.02737266]
25,0.02752328,1.6491122245788574,[0.02737266]
26,0.027819037,1.8054373264312744,[0.02737266]
27,0.029551148,1.7821073532104492,[0.02737266]
28,0.19648343,1.7374424934387207,[0.26224482]
29,0.18474656,1.6620361804962158,[0.26224482]
30,0.17923409,1.7393510341644287,[0.26224482]
31,0.22754985,1.7079927921295166,[0.26224482]
32,0.17723751,2.601200819015503,[0.26224482]
33,0.23010278,1.824281930923462,[0.26224482]
34,0.21258652,1.9287190437316895,[0.26224482]
35,0.21144289,1.8671503067016602,[0.26224482]
36,0.17888564,1.8836274147033691,[0.26224482]
37,0.22604555,1.9065406322479248,[0.26224482]
38,0.24550009,1.8932812213897705,[0.26224482]
39,0.19030893,1.9439020156860352,[0.26224482]
40,0.19393468,1.8914175033569336,[0.26224482]
41,0.1641795,1.7974247932434082,[0.26224482]
42,0.12102795,1.83180570602417,[0.26224482]
43,0.25725168,1.8197605609893799,[0.26224482]
44,0.26152468,1.9526395797729492,[0.26224482]
45,0.21128619,1.8903429508209229,[0.26224482]
46,0.20725203,1.8501100540161133,[0.26224482]
47,0.19310516,1.7979254722595215,[0.26224482]
48,0.2148031,1.8655712604522705,[0.26224482]
49,0.17454886,1.8726446628570557,[0.26224482]
50,0.1843574,1.8090019226074219,[0.26224482]
51,0.09437114,1.8969342708587646,[0.26224482]
52,0.22696006,1.8589739799499512,[0.26224482]
53,0.20067465,1.8144214153289795,[0.26224482]
54,0.1568672,1.8304307460784912,[0.26224482]
55,0.16800696,1.8493354320526123,[0.26224482]
56,0.14496487,1.8604402542114258,[0.26224482]
57,0.24066818,1.8594717979431152,[0.26224482]
58,0.18644005,1.828401803970337,[0.26224482]
59,0.2349627,1.7363059520721436,[0.26224482]
60,0.1641103,1.8833308219909668,[0.26224482]
61,0.20045441,1.8917863368988037,[0.26224482]
62,0.19328564,1.801485300064087,[0.26224482]
63,0.19282818,1.8480236530303955,[0.26224482]
64,0.18020946,1.8234069347381592,[0.26224482]
65,0.19357055,1.8133296966552734,[0.26224482]
66,0.19060546,1.862797498703003,[0.26224482]
67,0.23348653,1.8567562103271484,[0.26224482]
68,0.1582154,1.8365368843078613,[0.26224482]
69,0.23945683,1.913883924484253,[0.26224482]
70,0.1860472,1.9636826515197754,[0.26224482]
71,0.1520825,1.9038119316101074,[0.26224482]
72,0.2245574,1.8710198402404785,[0.26224482]
73,0.24147946,2.7835805416107178,[0.26224482]
74,0.18763447,1.767026424407959,[0.26224482]
75,0.15563303,1.8889286518096924,[0.26224482]
76,0.16260695,1.8373839855194092,[0.26224482]
77,0.23140293,1.8068344593048096,[0.26224482]
78,0.20541203,1.908492088317871,[0.26224482]
79,0.1667099,1.773568868637085,[0.26224482]
80,0.16787511,1.8604919910430908,[0.26224482]
81,0.19340211,1.8304417133331299,[0.26224482]
82,0.18566817,1.826312780380249,[0.26224482]
83,0.17991364,1.7371253967285156,[0.26224482]
84,0.1851508,1.7917511463165283,[0.26224482]
85,0.20246512,1.9007585048675537,[0.26224482]
86,0.14598417,1.839433193206787,[0.26224482]
87,0.15444463,1.863774299621582,[0.26224482]
88,0.23111427,1.8230090141296387,[0.26224482]
89,0.19560146,1.7758922576904297,[0.26224482]
90,0.11393082,1.7860147953033447,[0.26224482]
91,0.2109912,1.801961898803711,[0.26224482]
92,0.20290726,1.8631296157836914,[0.26224482]
93,0.19741565,1.8165462017059326,[0.26224482]
94,0.23080689,1.869532585144043,[0.26224482]
95,0.13593948,1.8207032680511475,[0.26224482]
96,0.18358624,1.83821439743042,[0.26224482]
97,0.1801135,1.8421883583068848,[0.26224482]
98,0.21152174,1.8007960319519043,[0.26224482]
99,0.11047417,1.796492576599121,[0.26224482]
100,0.24604934,1.7693026065826416,[0.26224482]
101,0.2394678,1.8116559982299805,[0.26224482]
102,0.25553662,1.8033556938171387,[0.26224482]
103,0.19532025,1.8298208713531494,[0.26224482]
104,0.12757576,1.859400987625122,[0.26224482]
105,0.20892215,1.9482064247131348,[0.26224482]
106,0.21624428,1.9285531044006348,[0.26224482]
107,0.18181026,2.7993547916412354,[0.26224482]
108,0.19677007,1.8412957191467285,[0.26224482]
109,0.20854914,1.8698995113372803,[0.26224482]
110,0.17214465,1.896960973739624,[0.26224482]
111,0.19393665,1.8768718242645264,[0.26224482]
112,0.1904636,1.8298144340515137,[0.26224482]
113,0.20062184,1.877302885055542,[0.26224482]
114,0.19185549,1.9197359085083008,[0.26224482]
115,0.1524322,1.810556411743164,[0.26224482]
116,0.2343216,1.8626549243927002,[0.26224482]
117,0.33738428,1.9325013160705566,[0.3216467]
118,0.25895107,1.85209321975708,[0.3216467]
119,0.23289782,1.8675661087036133,[0.3216467]
120,0.24207622,1.8065030574798584,[0.3216467]
121,0.27878904,1.77604079246521,[0.3216467]
122,0.29582185,1.8439249992370605,[0.3216467]
123,0.23427975,1.8054888248443604,[0.3216467]
124,0.2106229,1.846247673034668,[0.3216467]
125,0.29566383,1.7849366664886475,[0.3216467]
126,0.30879366,1.8892173767089844,[0.3216467]
127,0.21070641,1.8805179595947266,[0.3216467]
128,0.23890865,1.854844331741333,[0.3216467]
129,0.3473553,1.8731663227081299,[0.3216467]
130,0.23683876,1.7993719577789307,[0.3216467]
131,0.37401253,1.8747026920318604,[0.3216467]
132,0.30762202,1.8578424453735352,[0.3216467]
133,0.41593444,1.8707225322723389,[0.3932361]
134,0.33400828,1.8523085117340088,[0.3932361]
135,0.3904187,1.8812122344970703,[0.3932361]
136,0.38793856,1.9036307334899902,[0.3932361]
137,0.3570872,1.7329704761505127,[0.3932361]
138,0.36329925,1.8436384201049805,[0.3932361]
139,0.34620106,1.8612313270568848,[0.3932361]
140,0.41437984,1.8334884643554688,[0.3932361]
141,0.35023123,1.8836572170257568,[0.3932361]
142,0.37403333,1.8509814739227295,[0.3932361]
143,0.34525347,1.892547607421875,[0.3932361]
144,0.4193958,1.9789528846740723,[0.3932361]
