iteration,max_fitness,time,test_accuracy
0,-15.244915,0.0,-11.593663
1,-1.4044724,3.081519842147827,[-0.9940082]
2,-1.4044724,0.7771248817443848,[-0.9940082]
3,-1.4044724,0.7297830581665039,[-0.9940082]
4,-1.4044724,0.7634449005126953,[-0.9940082]
5,-1.4044724,0.7822935581207275,[-0.9940082]
6,-1.4044724,0.7619626522064209,[-0.9940082]
7,-1.4044724,0.9161167144775391,[-0.9940082]
8,-1.4044724,0.7247824668884277,[-0.9940082]
9,-1.4044724,0.762418270111084,[-0.9940082]
10,-1.4044724,0.7066080570220947,[-0.9940082]
11,-1.4044724,0.7508037090301514,[-0.9940082]
12,-1.4044724,0.7457578182220459,[-0.9940082]
13,-1.4044724,0.7198550701141357,[-0.9940082]
14,-1.4044724,0.7922854423522949,[-0.9940082]
15,-1.4044724,0.8231844902038574,[-0.9940082]
16,-1.4044724,0.7791881561279297,[-0.9940082]
17,-1.4044724,0.7699494361877441,[-0.9940082]
18,-1.4044724,0.7903330326080322,[-0.9940082]
19,-1.4044724,0.741243839263916,[-0.9940082]
20,-0.38063562,0.7600867748260498,[-0.26515484]
21,-0.38063562,0.7226853370666504,[-0.26515484]
22,-0.38063562,0.8367249965667725,[-0.26515484]
23,-0.38063562,0.7424156665802002,[-0.26515484]
24,-0.14390004,0.7334625720977783,[-0.22203863]
25,-0.14390004,0.7465567588806152,[-0.22203863]
26,-0.14390004,0.7649750709533691,[-0.22203863]
27,-0.14390004,0.7779836654663086,[-0.22203863]
28,-0.14390004,0.7657051086425781,[-0.22203863]
29,-0.14390004,0.7502152919769287,[-0.22203863]
30,-0.14390004,0.7502858638763428,[-0.22203863]
31,-0.14390004,0.7316181659698486,[-0.22203863]
32,-0.14390004,0.7373132705688477,[-0.22203863]
33,-0.14390004,0.7578718662261963,[-0.22203863]
34,-0.14390004,0.7690229415893555,[-0.22203863]
35,-0.14390004,0.8188402652740479,[-0.22203863]
36,-0.14390004,0.7829582691192627,[-0.22203863]
37,-0.14390004,0.9120752811431885,[-0.22203863]
38,-0.14390004,0.7742085456848145,[-0.22203863]
39,-0.14390004,0.7384312152862549,[-0.22203863]
40,-0.14390004,0.7092819213867188,[-0.22203863]
41,-0.14390004,0.7465775012969971,[-0.22203863]
42,-0.14390004,0.7765645980834961,[-0.22203863]
43,-0.14390004,0.7630817890167236,[-0.22203863]
44,-0.14390004,0.7905514240264893,[-0.22203863]
45,-0.14390004,0.7569179534912109,[-0.22203863]
46,-0.14390004,0.7642014026641846,[-0.22203863]
47,-0.14390004,0.7288942337036133,[-0.22203863]
48,-0.14390004,0.7362589836120605,[-0.22203863]
49,-0.14390004,0.7649364471435547,[-0.22203863]
50,-0.14390004,0.7252814769744873,[-0.22203863]
51,-0.14390004,0.7487363815307617,[-0.22203863]
52,-0.14390004,0.8953452110290527,[-0.22203863]
53,-0.14390004,0.7484469413757324,[-0.22203863]
54,-0.14390004,0.7651567459106445,[-0.22203863]
55,-0.14390004,0.7824106216430664,[-0.22203863]
56,-0.14390004,0.8014607429504395,[-0.22203863]
57,-0.14390004,0.7507424354553223,[-0.22203863]
58,-0.14390004,0.7959291934967041,[-0.22203863]
59,-0.14390004,0.7422690391540527,[-0.22203863]
60,-0.14390004,0.806077241897583,[-0.22203863]
61,-0.14390004,0.7851336002349854,[-0.22203863]
62,-0.14390004,0.748180627822876,[-0.22203863]
63,-0.14390004,0.753206729888916,[-0.22203863]
64,-0.14390004,0.8071293830871582,[-0.22203863]
65,-0.14390004,0.7833890914916992,[-0.22203863]
66,-0.14390004,0.787423849105835,[-0.22203863]
67,-0.14390004,0.9487271308898926,[-0.22203863]
68,-0.14390004,0.7273657321929932,[-0.22203863]
69,-0.04989171,0.7392230033874512,[-0.17939043]
70,-0.04989171,0.803882360458374,[-0.17939043]
71,-0.04989171,0.794508695602417,[-0.17939043]
72,-0.04989171,0.8002512454986572,[-0.17939043]
73,-0.04989171,0.7647538185119629,[-0.17939043]
74,-0.04989171,0.7525773048400879,[-0.17939043]
75,-0.04989171,0.7645790576934814,[-0.17939043]
76,-0.04989171,0.78395676612854,[-0.17939043]
77,-0.04989171,0.8059854507446289,[-0.17939043]
78,-0.04989171,0.7471356391906738,[-0.17939043]
79,-0.04989171,0.8024611473083496,[-0.17939043]
80,-0.04989171,0.7310442924499512,[-0.17939043]
81,-0.04989171,0.7527463436126709,[-0.17939043]
82,-0.04989171,0.9307928085327148,[-0.17939043]
83,-0.04989171,0.7297530174255371,[-0.17939043]
84,-0.04989171,0.7872204780578613,[-0.17939043]
85,-0.04989171,0.8045403957366943,[-0.17939043]
86,-0.04989171,0.7826089859008789,[-0.17939043]
87,-0.04989171,0.7730405330657959,[-0.17939043]
88,-0.04989171,0.7471446990966797,[-0.17939043]
89,-0.04989171,0.7745108604431152,[-0.17939043]
90,-0.04989171,0.7694883346557617,[-0.17939043]
91,-0.04989171,0.7922260761260986,[-0.17939043]
92,-0.04989171,0.8141837120056152,[-0.17939043]
93,-0.04989171,0.7998366355895996,[-0.17939043]
94,-0.04989171,0.8363852500915527,[-0.17939043]
95,-0.04989171,0.7936394214630127,[-0.17939043]
96,-0.04989171,0.8090100288391113,[-0.17939043]
97,-0.04989171,0.7246167659759521,[-0.17939043]
98,-0.04989171,0.9487926959991455,[-0.17939043]
99,-0.04989171,0.7636537551879883,[-0.17939043]
100,-0.04989171,0.7849502563476562,[-0.17939043]
101,-0.04989171,0.7741405963897705,[-0.17939043]
102,-0.04989171,0.7710187435150146,[-0.17939043]
103,-0.04989171,0.735694169998169,[-0.17939043]
104,-0.04989171,0.8026177883148193,[-0.17939043]
105,-0.04989171,0.7493233680725098,[-0.17939043]
106,-0.04989171,0.8353290557861328,[-0.17939043]
107,-0.04989171,0.7558858394622803,[-0.17939043]
108,-0.04989171,0.755544900894165,[-0.17939043]
109,-0.04989171,0.7886831760406494,[-0.17939043]
110,-0.04989171,0.7577965259552002,[-0.17939043]
111,-0.04989171,0.821342945098877,[-0.17939043]
112,-0.04989171,0.80106520652771,[-0.17939043]
113,-0.04989171,0.7333505153656006,[-0.17939043]
114,-0.04989171,0.9584004878997803,[-0.17939043]
115,-0.04989171,0.7622964382171631,[-0.17939043]
116,-0.04989171,0.7653841972351074,[-0.17939043]
117,-0.04989171,0.7695050239562988,[-0.17939043]
118,-0.04989171,0.8109400272369385,[-0.17939043]
119,-0.04989171,0.7709572315216064,[-0.17939043]
120,-0.04989171,0.7655172348022461,[-0.17939043]
121,-0.04989171,0.8153157234191895,[-0.17939043]
122,-0.04989171,0.7861640453338623,[-0.17939043]
123,-0.04989171,0.7997574806213379,[-0.17939043]
124,-0.04989171,0.7573659420013428,[-0.17939043]
125,-0.04989171,0.7812774181365967,[-0.17939043]
126,-0.04989171,0.8075518608093262,[-0.17939043]
127,-0.04989171,0.7603564262390137,[-0.17939043]
128,-0.04989171,0.8174333572387695,[-0.17939043]
129,-0.04989171,0.9848642349243164,[-0.17939043]
130,-0.04989171,0.7800083160400391,[-0.17939043]
131,-0.04989171,0.7566089630126953,[-0.17939043]
132,-0.04989171,0.8207864761352539,[-0.17939043]
133,-0.04989171,0.7957661151885986,[-0.17939043]
134,-0.04989171,0.8167705535888672,[-0.17939043]
135,-0.04989171,0.7649991512298584,[-0.17939043]
136,-0.04989171,0.7704639434814453,[-0.17939043]
137,-0.04989171,0.7976808547973633,[-0.17939043]
138,-0.04989171,0.7751641273498535,[-0.17939043]
139,-0.04989171,0.8304123878479004,[-0.17939043]
140,-0.04989171,0.8242685794830322,[-0.17939043]
141,-0.04989171,0.787360429763794,[-0.17939043]
142,-0.04989171,0.7828254699707031,[-0.17939043]
143,-0.04989171,0.8357973098754883,[-0.17939043]
144,-0.04989171,0.7874789237976074,[-0.17939043]
145,-0.04989171,0.7759368419647217,[-0.17939043]
146,-0.04989171,0.9546988010406494,[-0.17939043]
147,-0.04989171,0.7597570419311523,[-0.17939043]
148,-0.04989171,0.7639107704162598,[-0.17939043]
149,-0.04989171,0.8632359504699707,[-0.17939043]
150,-0.04989171,0.7953870296478271,[-0.17939043]
151,-0.04989171,0.8173589706420898,[-0.17939043]
152,-0.04989171,0.7843806743621826,[-0.17939043]
153,-0.04989171,0.7506089210510254,[-0.17939043]
154,-0.04989171,0.765129804611206,[-0.17939043]
155,-0.04989171,0.7367196083068848,[-0.17939043]
156,-0.04989171,0.7994155883789062,[-0.17939043]
157,-0.04989171,0.7841997146606445,[-0.17939043]
158,-0.04989171,0.7398221492767334,[-0.17939043]
159,-0.04989171,0.7744996547698975,[-0.17939043]
160,-0.04989171,0.7903120517730713,[-0.17939043]
161,-0.04989171,0.7696597576141357,[-0.17939043]
162,-0.04989171,0.7490513324737549,[-0.17939043]
163,-0.04989171,0.9667904376983643,[-0.17939043]
164,-0.04989171,0.742232084274292,[-0.17939043]
165,-0.04989171,0.8041253089904785,[-0.17939043]
166,-0.04989171,0.762519121170044,[-0.17939043]
167,-0.04989171,0.7477867603302002,[-0.17939043]
168,-0.04989171,0.7660870552062988,[-0.17939043]
169,-0.04989171,0.7800009250640869,[-0.17939043]
170,-0.04989171,0.8134078979492188,[-0.17939043]
171,-0.04989171,0.7774930000305176,[-0.17939043]
172,-0.04989171,0.7292160987854004,[-0.17939043]
