iteration,max_fitness,time,test_accuracy
0,-1.499774,0.0,-1.995642
1,-1.5890875,2.6697402000427246,[-1.995642]
2,-1.540724,2.5970590114593506,[-1.9956334]
3,-1.5529819,2.7116940021514893,[-1.9956334]
4,-0.36828434,2.595421552658081,[-0.41928554]
5,-0.3503065,2.5615084171295166,[-0.41928554]
6,-0.38615882,2.663569211959839,[-0.40915215]
7,-0.34894884,2.552058696746826,[-0.40915215]
8,-0.23709035,2.599595785140991,[-0.22244895]
9,-0.1858244,2.647592544555664,[-0.22244895]
10,-0.19248593,2.6103298664093018,[-0.22244895]
11,-0.22932076,2.5902013778686523,[-0.22244895]
12,0.20200366,2.609246015548706,[-0.03538465]
13,0.1569866,2.660736322402954,[-0.03538465]
14,0.17538923,2.631804943084717,[-0.03538465]
15,0.17928857,2.678762912750244,[-0.03538465]
16,0.18995827,2.68428373336792,[-0.03538465]
17,0.18430746,2.6328697204589844,[-0.03538465]
18,0.16795856,2.727872371673584,[-0.03538465]
19,0.15230781,2.744389772415161,[-0.03538465]
20,0.1869837,2.741417646408081,[-0.03538465]
21,0.16575003,2.6603245735168457,[-0.03538465]
22,0.14266068,2.598499298095703,[-0.03538465]
23,0.15786493,2.6889700889587402,[-0.03538465]
24,0.15488684,2.666110038757324,[-0.03437173]
25,0.16719085,2.6956610679626465,[-0.03437173]
26,0.20148855,2.6486611366271973,[-0.03538465]
27,0.1892631,2.8185184001922607,[-0.03437173]
28,0.1938594,2.765099287033081,[-0.03437173]
29,0.18847919,2.808454990386963,[-0.03437173]
30,0.2073893,2.6577987670898438,[-0.03437173]
31,0.17303002,2.7385172843933105,[-0.03538465]
32,0.15139598,2.6812400817871094,[-0.03437173]
33,0.17682856,2.63741397857666,[-0.03538465]
34,0.18203324,2.6704139709472656,[-0.03437173]
35,0.16598153,2.732888698577881,[-0.03538465]
36,0.17635739,2.7038044929504395,[-0.03538465]
37,0.23437399,2.5807721614837646,[-0.00820589]
38,0.20168036,2.780499219894409,[-0.00820589]
39,0.18649948,2.7324516773223877,[-0.00820589]
40,0.19731301,2.6785831451416016,[-0.00820589]
41,0.22106051,2.7372071743011475,[-0.00820589]
42,0.20758706,2.680535316467285,[-0.00820589]
43,0.19253266,5.226627349853516,[-0.00820589]
44,0.19977689,2.6658711433410645,[-0.00820589]
45,0.35867614,2.7131125926971436,[0.21299851]
46,0.33011365,2.640693187713623,[0.21299851]
47,0.3827237,2.7059288024902344,[0.21299851]
48,0.37071306,2.681966543197632,[0.21299851]
49,0.34465688,2.831681251525879,[0.21299851]
50,0.37028784,2.744788885116577,[0.21299851]
