iteration,max_fitness,time,test_accuracy
0,0.94957983,0.0,0.882353
1,0.94957983,3.7496249675750732,[0.882353]
2,0.9691877,2.6916141510009766,[0.94117653]
3,0.9691877,2.680866003036499,[0.94117653]
4,0.98039216,2.646137237548828,[0.97479]
5,0.98039216,2.7222111225128174,[0.97479]
6,0.98039216,2.7199902534484863,[0.95798326]
7,0.98039216,2.6644632816314697,[0.97479]
8,0.98039216,2.70735764503479,[0.95798326]
9,0.98039216,2.7078747749328613,[0.97479]
10,0.9859944,3.569350481033325,[0.98319334]
11,0.99159664,2.628260850906372,[0.9915967]
12,0.99159664,2.7243292331695557,[0.98319334]
13,0.99159664,2.7221760749816895,[0.9915967]
14,0.99439776,2.696824550628662,[0.9663866]
15,0.99439776,2.6936864852905273,[0.9663866]
16,0.99439776,2.7454702854156494,[0.9663866]
17,0.99439776,2.6289255619049072,[0.9663866]
18,0.99439776,2.7536227703094482,[0.9663866]
19,0.99439776,2.741783618927002,[0.9663866]
20,0.99439776,2.671954393386841,[0.9663866]
21,0.99439776,2.698538064956665,[0.9663866]
22,0.99439776,2.6465673446655273,[0.9663866]
23,0.99439776,2.695533514022827,[0.9663866]
24,0.99439776,2.7068564891815186,[0.9663866]
25,0.99439776,2.746204376220703,[0.9663866]
26,0.99439776,2.6987597942352295,[0.9663866]
27,0.99439776,2.679443836212158,[0.9663866]
28,0.99439776,2.6127099990844727,[0.9663866]
29,0.99439776,2.6061885356903076,[0.9663866]
30,0.99439776,3.5894734859466553,[0.9663866]
31,0.99439776,2.669247627258301,[0.9663866]
32,0.99439776,2.7130651473999023,[0.9663866]
33,0.99439776,2.6655478477478027,[0.9663866]
34,0.99439776,2.6654932498931885,[0.9663866]
35,0.99439776,2.6574807167053223,[0.9663866]
36,0.99439776,2.7445554733276367,[0.9663866]
37,0.99439776,2.7491729259490967,[0.9663866]
38,0.99439776,2.7105777263641357,[0.9663866]
39,0.99439776,2.6322901248931885,[0.9915967]
40,0.99439776,2.7028446197509766,[0.9663866]
41,0.99439776,2.6534841060638428,[0.9915967]
42,0.99439776,2.7098331451416016,[0.98319334]
43,0.99439776,2.764407157897949,[0.9915967]
44,0.99439776,2.6547763347625732,[0.98319334]
45,0.99439776,2.7026236057281494,[0.9915967]
46,0.99439776,2.6941285133361816,[0.98319334]
47,0.99439776,2.725860118865967,[0.98319334]
48,0.99439776,2.7625269889831543,[0.98319334]
49,0.99439776,2.71144700050354,[0.98319334]
50,0.99439776,3.493467092514038,[0.9663866]
51,0.99439776,2.719912052154541,[0.9915967]
52,0.99439776,2.64582896232605,[0.9663866]
53,0.99439776,2.632756233215332,[0.9915967]
54,0.99439776,2.731229305267334,[0.9663866]
55,0.99439776,2.749600410461426,[0.9915967]
56,0.99439776,2.6800377368927,[0.9663866]
57,0.99439776,2.7562613487243652,[0.9915967]
58,0.99439776,2.7064712047576904,[0.9663866]
59,0.99439776,2.705451011657715,[0.9915967]
60,0.99439776,2.7302799224853516,[1.]
61,0.99439776,2.739973545074463,[0.9915967]
62,0.9971989,2.7583842277526855,[1.]
63,1.0,2.652543544769287,[0.9915967]
64,1.0,2.673081159591675,[0.9915967]
65,1.0,2.684175968170166,[0.9915967]
66,1.0,2.6476094722747803,[0.9915967]
67,1.0,2.637237310409546,[0.9915967]
68,1.0,2.610827684402466,[0.9915967]
69,1.0,2.5897216796875,[0.9915967]
70,1.0,2.645082473754883,[0.9915967]
71,1.0,2.6628572940826416,[0.9915967]
72,1.0,3.469756603240967,[0.9915967]
73,1.0,2.5961434841156006,[1.]
74,1.0,2.6028480529785156,[0.9915967]
75,1.0,2.565988302230835,[1.]
76,1.0,2.593611478805542,[0.9915967]
77,1.0,2.641057014465332,[1.]
78,1.0,2.626774549484253,[0.9915967]
79,1.0,2.64627742767334,[1.]
80,1.0,2.5720064640045166,[0.9915967]
81,1.0,2.609218120574951,[1.]
82,1.0,2.59714937210083,[0.9915967]
83,1.0,2.6060404777526855,[1.]
84,1.0,2.6408300399780273,[0.9915967]
85,1.0,2.5975382328033447,[0.9915967]
86,1.0,2.668421506881714,[0.9915967]
87,1.0,2.6479992866516113,[0.9915967]
88,1.0,2.677410364151001,[0.9915967]
89,1.0,2.6277806758880615,[0.9915967]
90,1.0,2.6818177700042725,[0.9915967]
91,1.0,2.64739990234375,[0.9915967]
92,1.0,3.5042970180511475,[0.9915967]
93,1.0,2.604581832885742,[0.9915967]
94,1.0,2.5177524089813232,[0.9915967]
95,1.0,2.5695393085479736,[0.9915967]
96,1.0,2.6379199028015137,[0.9915967]
97,1.0,2.579495906829834,[0.9915967]
98,1.0,2.6199753284454346,[0.9915967]
99,1.0,2.6087112426757812,[0.9915967]
100,1.0,2.554270029067993,[0.9915967]
101,1.0,2.6808245182037354,[0.9915967]
102,1.0,2.5521326065063477,[0.9915967]
103,1.0,2.6020596027374268,[0.9915967]
104,1.0,2.6081905364990234,[0.9915967]
105,1.0,2.574702739715576,[0.9915967]
106,1.0,2.6430063247680664,[0.9915967]
107,1.0,2.5675437450408936,[0.9915967]
108,1.0,2.596801280975342,[0.9915967]
109,1.0,2.589984178543091,[0.9915967]
110,1.0,2.630457639694214,[0.9915967]
111,1.0,2.6062021255493164,[0.9915967]
112,1.0,2.5559561252593994,[0.9915967]
113,1.0,3.5328376293182373,[0.9915967]
114,1.0,2.6172258853912354,[0.9915967]
115,1.0,2.5921003818511963,[0.9915967]
116,1.0,2.607541799545288,[0.9915967]
117,1.0,2.5693278312683105,[0.9915967]
118,1.0,2.594184637069702,[0.9915967]
119,1.0,2.541982889175415,[0.9915967]
120,1.0,2.592444658279419,[0.9915967]
121,1.0,2.5664520263671875,[0.9915967]
122,1.0,2.6173784732818604,[0.9915967]
123,1.0,2.5564675331115723,[0.9915967]
124,1.0,2.6403727531433105,[0.9915967]
125,1.0,2.6368050575256348,[0.9915967]
126,1.0,2.5783865451812744,[0.9915967]
127,1.0,2.6658008098602295,[0.9915967]
128,1.0,2.641636848449707,[0.9915967]
129,1.0,2.5798676013946533,[0.9915967]
130,1.0,2.5493290424346924,[0.9915967]
131,1.0,2.619471788406372,[0.9915967]
132,1.0,2.639197587966919,[0.9915967]
133,1.0,3.4888453483581543,[0.9915967]
134,1.0,2.6172101497650146,[0.9915967]
135,1.0,2.66459584236145,[0.9915967]
136,1.0,2.6310079097747803,[0.9915967]
137,1.0,2.7288527488708496,[0.9915967]
138,1.0,2.662722587585449,[0.9915967]
139,1.0,2.5896666049957275,[0.9915967]
140,1.0,2.636848211288452,[0.9915967]
141,1.0,2.6416046619415283,[0.9915967]
142,1.0,2.6529524326324463,[0.9915967]
143,1.0,2.6365420818328857,[0.9915967]
144,1.0,2.638554811477661,[0.9915967]
145,1.0,2.5429067611694336,[0.9915967]
146,1.0,2.6103577613830566,[0.9915967]
147,1.0,2.615772247314453,[0.9915967]
148,1.0,2.535352945327759,[0.9915967]
149,1.0,2.5988008975982666,[0.9915967]
