iteration,max_fitness,time,test_accuracy
0,0.5930847,0.0,0.082792625
1,0.5930847,1.9730544090270996,[0.08279262]
2,0.6160347,1.0857295989990234,[0.10573345]
3,0.68588823,1.1059248447418213,[0.44928026]
4,0.71323586,1.1097261905670166,[0.464534]
5,0.723481,1.1295485496520996,[0.53470415]
6,0.73854554,1.079075813293457,[0.5937799]
7,0.75128734,1.0972495079040527,[0.627539]
8,0.7517877,1.119722843170166,[0.62881655]
9,0.7574156,1.0073695182800293,[0.6312478]
10,0.7574156,0.9985101222991943,[0.6312478]
11,0.7574824,1.1141650676727295,[0.6313877]
12,0.76008123,1.0727636814117432,[0.6345062]
13,0.7829153,1.1013274192810059,[0.68972576]
14,0.7829154,1.0556468963623047,[0.6897252]
15,0.7829154,1.0158095359802246,[0.6897252]
16,0.78724825,1.0126054286956787,[0.72470427]
17,0.7872483,1.0413992404937744,[0.72470355]
18,0.8051827,1.0785717964172363,[0.76278627]
19,0.8051995,1.0683557987213135,[0.76282007]
20,0.8051995,1.1121816635131836,[0.76282007]
21,0.8051995,1.0807702541351318,[0.76282007]
22,0.8227835,1.077944278717041,[0.8426628]
23,0.8227836,1.104759693145752,[0.84266317]
24,0.8227836,1.0854334831237793,[0.84266317]
25,0.8227836,1.0887517929077148,[0.84266317]
26,0.8227836,1.1043555736541748,[0.8426635]
27,0.8227836,1.0731139183044434,[0.8426635]
28,0.8227836,1.1296908855438232,[0.8426635]
29,0.8227836,1.0840954780578613,[0.8426635]
30,0.82278365,1.0688402652740479,[0.84264094]
31,0.82278365,1.075439214706421,[0.84264094]
32,0.82278365,1.0835938453674316,[0.84264094]
33,0.82278365,2.001575469970703,[0.84264094]
34,0.82278365,1.12131929397583,[0.84264094]
35,0.82278365,1.0910530090332031,[0.84264094]
36,0.82278365,1.0968308448791504,[0.84264094]
37,0.82278365,1.153684377670288,[0.84264094]
38,0.82278365,1.1272869110107422,[0.84264094]
39,0.82278365,1.1303701400756836,[0.84264094]
40,0.82391226,1.147756814956665,[0.84153694]
41,0.82391226,1.134634256362915,[0.8415368]
42,0.82429516,1.1009342670440674,[0.84088516]
43,0.82429516,1.0860157012939453,[0.84088516]
44,0.82429516,1.1123313903808594,[0.84088516]
45,0.82429516,1.1270952224731445,[0.84088516]
46,0.82429516,1.1015074253082275,[0.84088516]
47,0.82429516,1.1048002243041992,[0.84088516]
48,0.82429516,1.116654396057129,[0.84088516]
49,0.82429516,1.121713638305664,[0.84088516]
50,0.82429516,1.1251492500305176,[0.84088516]
51,0.82429516,1.1147329807281494,[0.8408855]
52,0.8264408,1.0864920616149902,[0.840885]
53,0.8264408,1.0212929248809814,[0.840885]
54,0.8264408,0.9964067935943604,[0.840885]
55,0.8264408,1.1480915546417236,[0.840885]
56,0.8264408,1.093672752380371,[0.840885]
57,0.8264408,1.0824275016784668,[0.840885]
58,0.8264409,1.0521516799926758,[0.8408866]
59,0.8264409,1.0941784381866455,[0.8408866]
60,0.8264409,1.0968384742736816,[0.8408866]
61,0.8264409,1.0726981163024902,[0.8408866]
